b,c,k,A
0.0,2.0,1,"((0, 1), (0, 4), (1, 0), (1, 1), (1, 3))"
-667.5,3386.0,15,"((0, 0), (1, 1), (3, 2), (7, 10), (15, 9))"
-64.0,120.0,5,"((0, 0), (1, 1), (2, 1), (9, 4), (10, 7))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 4))"
-322.5,1137.0,11,"((0, 0), (1, 1), (2, 1), (5, 6), (11, 1))"
-3262.5,33555.0,32,"((0, 0), (2, 1), (3, 2), (5, 17), (15, 11))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (2, 3), (5, 3))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 1), (1, 4), (4, 4))"
1.5,-3.0,3,"((0, 0), (1, 1), (2, 1), (6, 5), (8, 7))"
-488.5,2202.0,18,"((0, 1), (0, 2), (1, 0), (6, 6), (10, 0))"
-63.0,113.0,7,"((0, 0), (0, 1), (1, 0), (4, 5), (5, 1))"
0.0,2.0,1,"((0, 1), (1, 0), (1, 1), (1, 3), (2, 0))"
-432.0,2466.0,17,"((0, 0), (2, 1), (3, 2), (6, 3), (14, 16))"
-86.5,157.0,9,"((0, 0), (1, 1), (2, 1), (11, 0), (11, 2))"
0.5,-3.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 2))"
7.0,-94.0,9,"((0, 0), (1, 1), (2, 0), (2, 1), (11, 0))"
-198.5,607.0,11,"((0, 0), (1, 1), (2, 1), (2, 6), (9, 5))"
-661.0,2292.0,39,"((0, 0), (1, 1), (3, 2), (5, 17), (6, 5))"
-50.5,89.0,5,"((0, 1), (0, 5), (1, 0), (1, 1), (4, 4))"
-1122.0,5903.0,21,"((0, 0), (0, 10), (2, 1), (3, 2), (13, 3))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 3), (3, 0))"
1.0,0.0,2,"((0, 0), (1, 0), (1, 1), (4, 2), (5, 2))"
3.0,0.0,1,"((0, 1), (1, 0), (1, 1), (1, 3), (1, 4))"
2.0,-1.0,2,"((0, 0), (0, 1), (1, 0), (2, 1), (4, 0))"
-42.5,73.0,5,"((0, 0), (0, 1), (1, 1), (4, 0), (5, 4))"
-22.5,35.0,4,"((0, 1), (1, 0), (1, 1), (1, 5), (3, 1))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 4))"
-18.0,-9.0,8,"((0, 1), (0, 2), (1, 0), (1, 2), (3, 11))"
