b,c,k,A
4.0,-9.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 0))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (3, 4), (5, 4))"
-8.5,10.0,2,"((0, 1), (0, 3), (1, 0), (1, 1), (4, 0))"
-548.5,1790.0,28,"((0, 0), (1, 1), (3, 2), (9, 7), (11, 17))"
-1.5,3.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 4))"
-40.0,70.0,5,"((0, 1), (1, 0), (1, 1), (1, 5), (4, 1))"
-24.0,36.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (4, 1))"
-10.0,15.0,3,"((0, 1), (1, 0), (1, 1), (1, 2), (5, 5))"
-2222.0,14221.0,29,"((0, 3), (1, 2), (2, 0), (11, 1), (15, 16))"
-16.5,14.0,5,"((0, 0), (0, 1), (1, 0), (2, 5), (3, 2))"
0.0,2.0,1,"((0, 0), (0, 1), (1, 0), (1, 1), (3, 3))"
0.5,-3.0,3,"((0, 0), (0, 1), (1, 0), (1, 1), (5, 2))"
-22.5,35.0,4,"((0, 0), (1, 0), (1, 1), (1, 3), (5, 1))"
-661.5,3287.0,18,"((0, 0), (2, 1), (3, 2), (5, 14), (9, 11))"
-168.0,476.0,9,"((0, 0), (2, 1), (3, 2), (9, 4), (12, 10))"
-90.0,205.0,7,"((0, 0), (1, 1), (2, 1), (6, 6), (9, 4))"
-36.0,66.0,5,"((0, 0), (0, 3), (0, 9), (1, 1), (2, 1))"
-1.5,3.0,1,"((0, 1), (1, 0), (1, 1), (2, 0), (2, 3))"
-62.5,125.0,6,"((0, 1), (1, 0), (1, 1), (1, 5), (5, 0))"
-13.5,21.0,3,"((0, 1), (1, 0), (1, 1), (2, 5), (3, 5))"
-436.5,1705.0,16,"((0, 1), (0, 2), (1, 0), (4, 11), (8, 8))"
-14.5,19.0,3,"((0, 0), (0, 1), (1, 1), (2, 5), (4, 5))"
3.0,0.0,1,"((0, 0), (0, 1), (0, 3), (0, 4), (1, 0))"
-722.5,4165.0,18,"((0, 0), (2, 1), (3, 2), (3, 10), (10, 5))"
-50.5,89.0,5,"((0, 0), (1, 0), (1, 1), (3, 5), (5, 1))"
-3217.5,25337.0,32,"((0, 0), (3, 2), (5, 3), (11, 4), (18, 29))"
-432.0,2466.0,17,"((0, 0), (1, 1), (3, 2), (9, 6), (9, 12))"
-6.0,7.0,2,"((0, 1), (1, 0), (1, 1), (3, 2), (5, 1))"
-220.0,650.0,9,"((0, 0), (2, 1), (3, 2), (10, 11), (13, 10))"
1.5,1.0,1,"((0, 1), (0, 2), (0, 3), (1, 0), (2, 0))"
1.5,-3.0,3,"((0, 0), (1, 0), (2, 1), (5, 2), (10, 5))"
-120.0,282.0,7,"((0, 0), (1, 1), (3, 2), (5, 1), (15, 9))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 0), (2, 4))"
-10.0,15.0,3,"((0, 1), (1, 0), (1, 1), (1, 2), (5, 2))"
-798.0,3901.0,15,"((0, 0), (1, 1), (2, 1), (3, 10), (11, 2))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 2), (4, 0))"
-720.0,3840.0,17,"((0, 3), (1, 2), (2, 0), (7, 0), (11, 9))"
-21.0,24.0,5,"((0, 0), (1, 0), (1, 1), (4, 3), (5, 0))"
-22.0,29.0,3,"((0, 0), (1, 0), (1, 1), (3, 5), (4, 2))"
-270.0,1153.0,16,"((0, 0), (1, 0), (2, 1), (3, 10), (6, 11))"
-6.0,7.0,2,"((0, 0), (0, 1), (1, 1), (2, 4), (3, 2))"
-5.0,-14.0,5,"((0, 0), (1, 0), (2, 1), (5, 5), (8, 7))"
-4.5,6.0,2,"((0, 0), (1, 0), (1, 1), (1, 3), (3, 3))"
-130.0,265.0,12,"((0, 0), (1, 1), (3, 2), (4, 7), (9, 7))"
-390.5,1401.0,15,"((0, 2), (1, 0), (1, 1), (3, 9), (9, 8))"
-1944.0,13072.0,29,"((0, 0), (1, 1), (3, 2), (8, 14), (13, 1))"
-784.0,3740.0,15,"((0, 0), (0, 2), (3, 2), (5, 3), (16, 24))"
-26.5,39.0,4,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 5))"
3.0,0.0,1,"((0, 0), (1, 0), (1, 1), (2, 1), (4, 3))"
-202.0,793.0,11,"((0, 0), (0, 7), (1, 0), (2, 1), (5, 3))"
1.5,1.0,1,"((0, 0), (1, 0), (1, 1), (2, 2), (4, 5))"
-30.0,45.0,4,"((0, 0), (1, 0), (1, 1), (3, 5), (4, 1))"
0.5,-26.0,6,"((0, 0), (1, 0), (2, 1), (8, 0), (11, 0))"
-1749.5,13105.0,31,"((0, 0), (3, 2), (5, 3), (10, 5), (13, 21))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (3, 4), (5, 5))"
-22.5,35.0,4,"((0, 1), (1, 0), (1, 1), (1, 5), (3, 0))"
1.5,1.0,1,"((0, 0), (0, 1), (1, 1), (2, 0), (4, 0))"
-544.0,3026.0,17,"((0, 0), (2, 1), (3, 2), (13, 3), (17, 0))"
-18.0,31.0,4,"((0, 0), (0, 1), (1, 0), (2, 0), (2, 5))"
-8.5,10.0,2,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 5))"
-16.0,20.0,3,"((0, 0), (1, 0), (1, 1), (2, 4), (4, 2))"
-117.0,258.0,9,"((0, 0), (1, 1), (2, 1), (11, 6), (11, 9))"
1.0,-5.0,3,"((0, 0), (0, 3), (1, 0), (1, 1), (1, 5))"
1.5,-3.0,3,"((0, 0), (1, 0), (1, 1), (3, 1), (5, 0))"
-70.5,141.0,6,"((0, 1), (0, 5), (1, 0), (1, 1), (5, 3))"
-9.0,7.0,4,"((0, 1), (1, 0), (1, 1), (1, 4), (3, 5))"
-8.5,10.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (5, 4))"
-12.0,16.0,3,"((0, 1), (1, 0), (1, 1), (3, 2), (4, 5))"
-282.0,981.0,14,"((0, 2), (1, 0), (1, 1), (4, 10), (6, 4))"
-16.0,20.0,3,"((0, 0), (0, 3), (1, 0), (1, 1), (3, 5))"
-13.5,17.0,3,"((0, 0), (0, 1), (1, 0), (3, 1), (3, 4))"
0.5,-3.0,3,"((0, 1), (1, 0), (1, 1), (2, 4), (2, 5))"
-4.0,6.0,2,"((0, 0), (1, 0), (1, 1), (2, 2), (2, 5))"
1.5,-15.0,5,"((0, 0), (1, 1), (2, 0), (2, 1), (8, 1))"
-22.5,35.0,4,"((0, 1), (1, 0), (1, 1), (1, 3), (5, 4))"
-8.5,10.0,2,"((0, 0), (0, 1), (1, 1), (4, 2), (5, 4))"
-448.0,2256.0,15,"((0, 0), (1, 1), (2, 1), (2, 11), (6, 2))"
-13.5,21.0,3,"((0, 0), (1, 0), (2, 1), (3, 1), (8, 6))"
-46.0,91.0,5,"((0, 0), (1, 0), (2, 1), (5, 2), (11, 8))"
-635.5,2809.0,17,"((0, 2), (1, 0), (1, 1), (3, 11), (9, 6))"
-94.5,261.0,8,"((0, 0), (2, 1), (3, 2), (9, 3), (15, 7))"
-22.5,35.0,4,"((0, 0), (1, 0), (1, 1), (3, 0), (4, 5))"
-4.0,6.0,2,"((0, 1), (0, 4), (1, 0), (1, 1), (2, 1))"
-10.0,9.0,4,"((0, 0), (0, 2), (1, 0), (1, 1), (5, 2))"
-9.0,7.0,4,"((0, 0), (0, 3), (1, 0), (1, 1), (4, 0))"
-43.5,76.0,5,"((0, 0), (1, 1), (2, 1), (5, 0), (9, 3))"
-12.0,16.0,3,"((0, 0), (1, 0), (1, 1), (1, 4), (3, 2))"
-4.5,6.0,2,"((0, 1), (1, 0), (1, 1), (2, 3), (3, 1))"
-15.5,9.0,5,"((0, 0), (0, 5), (1, 1), (2, 1), (3, 0))"
-6.5,9.0,2,"((0, 1), (0, 2), (1, 0), (1, 1), (4, 2))"
-13.5,21.0,3,"((0, 0), (0, 1), (1, 1), (1, 2), (5, 0))"
5.5,-55.0,6,"((0, 1), (0, 2), (1, 0), (1, 7), (1, 8))"
-11.5,11.0,5,"((0, 1), (1, 0), (1, 1), (4, 4), (4, 5))"
3.0,0.0,1,"((0, 1), (1, 0), (1, 1), (2, 0), (3, 1))"
-190.0,573.0,9,"((0, 0), (1, 1), (1, 4), (3, 2), (12, 4))"
