b,c,k,A
3.5,-3.0,2,"((0, 0), (0, 1), (1, 1), (1, 2), (1, 5))"
-58.0,127.0,6,"((0, 0), (1, 1), (2, 1), (4, 1), (6, 7))"
-6.5,3.0,4,"((0, 0), (1, 0), (1, 1), (3, 1), (5, 5))"
-4.0,6.0,2,"((0, 0), (0, 1), (1, 0), (2, 0), (4, 2))"
-6.0,7.0,2,"((0, 0), (1, 0), (1, 1), (2, 3), (5, 5))"
-252.0,786.0,10,"((0, 0), (1, 0), (2, 1), (8, 10), (11, 8))"
-180.0,590.0,10,"((0, 0), (1, 1), (2, 1), (4, 8), (6, 2))"
-1021.5,5291.0,17,"((0, 0), (2, 1), (3, 2), (5, 11), (13, 4))"
-667.0,2956.0,18,"((0, 0), (1, 1), (2, 1), (4, 11), (11, 8))"
-72.0,176.0,7,"((0, 0), (1, 1), (2, 1), (3, 3), (4, 11))"
