m,A,|A|,b,k,const
41,"{0, 2, 3, 4, 5, 7, 9, 10, 13, 14, 15, 17, 18, 22, 28, 29, 33, 34, 36, 37, 38, 41}",22,80,2,-2
19,"{0, 1, 3, 6, 7, 8, 12, 13, 14, 15, 19}",11,55,3,-2
16,"{0, 1, 3, 4, 8, 9, 10, 11, 13, 16}",10,30,2,-2
22,"{0, 3, 4, 5, 7, 10, 14, 16, 19, 20, 22}",11,64,3,-2
7,"{0, 1, 2, 3, 7}",5,5,1,-2
46,"{0, 1, 2, 4, 5, 8, 10, 12, 14, 15, 16, 17, 20, 21, 22, 23, 26, 27, 30, 31, 32, 36, 39, 41, 43, 46}",26,136,3,-2
7,"{0, 1, 2, 4, 7}",5,5,1,-2
7,"{0, 1, 2, 4, 7}",5,5,1,-2
41,"{0, 2, 4, 5, 6, 7, 8, 9, 10, 13, 17, 22, 28, 29, 30, 31, 32, 33, 34, 37, 38, 39, 41}",23,80,2,-2
27,"{0, 1, 3, 5, 6, 9, 10, 11, 16, 19, 20, 21, 22, 24, 27}",15,52,2,-2
13,"{0, 2, 3, 5, 6, 8, 9, 10, 13}",9,24,2,-2
22,"{0, 4, 5, 6, 7, 8, 9, 13, 15, 16, 19, 21, 22}",13,64,3,-2
24,"{0, 1, 2, 6, 8, 9, 11, 12, 14, 15, 17, 18, 22, 24}",14,70,3,-2
7,"{0, 1, 2, 3, 7}",5,5,1,-2
22,"{0, 2, 4, 5, 6, 9, 12, 16, 19, 20, 22}",11,64,3,-2
7,"{0, 1, 5, 7}",4,26,4,-2
21,"{0, 1, 2, 4, 5, 6, 7, 11, 12, 14, 15, 19, 21}",13,40,2,-2
36,"{0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 17, 18, 20, 21, 23, 25, 27, 29, 32, 33, 36}",24,70,2,-2
28,"{0, 1, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 24, 25, 28}",20,82,3,-2
31,"{0, 1, 2, 5, 9, 10, 11, 12, 13, 15, 18, 19, 22, 23, 24, 27, 29, 31}",18,91,3,-2
9,"{0, 1, 2, 4, 6, 9}",6,16,2,-2
18,"{0, 1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 18}",13,34,2,-2
7,"{0, 2, 4, 5, 7}",5,5,1,-2
32,"{0, 2, 5, 10, 11, 12, 13, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32}",19,126,4,-2
32,"{0, 2, 4, 5, 7, 8, 9, 11, 13, 16, 18, 21, 22, 23, 24, 26, 27, 29, 30, 32}",20,62,2,-2
28,"{0, 3, 4, 6, 8, 10, 12, 13, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28}",20,54,2,-2
34,"{0, 3, 4, 5, 6, 7, 8, 11, 16, 17, 18, 20, 21, 23, 24, 28, 29, 30, 31, 32, 34}",21,66,2,-2
43,"{0, 1, 3, 4, 8, 12, 13, 14, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 36, 37, 38, 40, 43}",27,127,3,-2
46,"{0, 2, 3, 4, 7, 8, 9, 10, 11, 13, 14, 16, 19, 20, 24, 25, 28, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 46}",28,90,2,-2
7,"{0, 4, 5, 6, 7}",5,5,1,-2
36,"{0, 3, 4, 5, 7, 10, 11, 15, 16, 17, 19, 21, 22, 23, 25, 26, 29, 33, 34, 36}",20,106,3,-2
42,"{0, 2, 5, 6, 11, 15, 16, 18, 19, 21, 22, 23, 25, 27, 29, 30, 31, 32, 33, 34, 36, 39, 40, 42}",24,124,3,-2
8,"{0, 2, 4, 5, 6, 8}",6,6,1,-2
30,"{0, 1, 2, 3, 7, 10, 11, 12, 14, 15, 18, 21, 22, 23, 24, 26, 27, 30}",18,58,2,-2
44,"{0, 1, 32, 3, 4, 37, 38, 6, 42, 44, 16, 18, 20, 22, 25, 26, 28}",17,174,4,-2
37,"{0, 35, 4, 5, 6, 7, 36, 37, 11, 12, 18, 19, 20, 24, 27, 28, 29, 31}",18,109,3,-2
14,"{0, 1, 8, 9, 10, 11, 14}",7,82,6,-2
34,"{0, 33, 2, 34, 7, 9, 14, 19}",8,474,14,-2
22,"{0, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22}",18,42,2,-2
37,"{0, 33, 32, 2, 1, 37, 14, 15, 17, 19, 20, 23, 26, 29, 30, 31}",16,257,7,-2
25,"{0, 2, 5, 6, 7, 8, 9, 14, 15, 17, 18, 22, 23, 25}",14,48,2,-2
40,"{32, 0, 3, 4, 35, 38, 39, 8, 40, 11, 13, 15, 19, 23, 25, 26, 31}",17,118,3,-2
7,"{0, 2, 3, 4, 7}",5,5,1,-2
20,"{0, 2, 4, 5, 7, 9, 11, 15, 17, 18, 20}",11,38,2,-2
26,"{0, 3, 5, 6, 7, 10, 11, 12, 17, 19, 20, 22, 24, 25, 26}",15,50,2,-2
34,"{0, 1, 8, 10, 11, 14, 15, 16, 18, 19, 20, 23, 25, 26, 27, 28, 29, 30, 34}",19,236,7,-2
39,"{32, 1, 2, 35, 36, 0, 7, 39, 13, 15, 16, 17, 21, 22, 23}",15,154,4,-2
14,"{0, 1, 2, 3, 7, 9, 11, 14}",8,40,3,-2
43,"{0, 2, 7, 8, 10, 11, 13, 14, 17, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 32, 34, 35, 37, 41, 42, 43}",26,127,3,-2
8,"{0, 2, 3, 4, 5, 8}",6,6,1,-2
29,"{0, 2, 3, 5, 8, 9, 11, 13, 15, 18, 19, 22, 23, 24, 25, 26, 29}",17,56,2,-2
11,"{0, 3, 4, 9, 10, 11}",6,31,3,-2
42,"{0, 2, 5, 6, 8, 11, 12, 13, 17, 18, 21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 38, 39, 40, 42}",26,124,3,-2
10,"{0, 1, 2, 3, 4, 5, 7, 10}",8,8,1,-2
10,"{0, 1, 5, 6, 7, 10}",6,28,3,-2
35,"{0, 2, 34, 35, 7, 15, 19, 20, 21, 25, 27}",11,243,7,-2
46,"{0, 2, 6, 7, 8, 9, 11, 13, 14, 18, 19, 24, 29, 31, 34, 35, 36, 37, 39, 42, 43, 44, 45, 46}",24,90,2,-2
40,"{0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 24, 28, 30, 33, 36, 37, 40}",26,118,3,-2
27,"{0, 1, 2, 5, 6, 8, 9, 10, 12, 13, 15, 16, 19, 20, 23, 24, 27}",17,79,3,-2
10,"{0, 3, 5, 7, 9, 10}",6,28,3,-2
36,"{32, 1, 0, 3, 33, 36, 10, 14, 16, 18, 19, 20, 22, 27, 28, 29, 30}",17,142,4,-2
7,"{0, 1, 2, 4, 7}",5,5,1,-2
7,"{0, 1, 5, 7}",4,26,4,-2
29,"{0, 3, 4, 9, 20, 21, 25, 27, 28, 29}",10,114,4,-2
12,"{0, 2, 6, 7, 8, 11, 12}",7,34,3,-2
33,"{0, 32, 33, 3, 4, 10, 11, 12, 15, 17, 20, 21, 22, 24, 27, 28, 29, 30}",18,97,3,-2
49,"{0, 2, 5, 8, 9, 11, 17, 18, 19, 20, 21, 25, 27, 28, 29, 32, 36, 37, 44, 45, 46, 47, 49}",23,145,3,-2
49,"{0, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 24, 27, 33, 34, 35, 37, 38, 42, 44, 45, 46, 49}",29,145,3,-2
34,"{0, 1, 2, 5, 6, 7, 8, 9, 10, 13, 17, 18, 19, 20, 22, 23, 24, 27, 29, 31, 34}",21,100,3,-2
38,"{0, 2, 35, 36, 5, 38, 11, 18, 22, 23, 26}",11,188,5,-2
36,"{0, 2, 3, 6, 11, 13, 14, 17, 18, 19, 21, 25, 28, 29, 30, 31, 32, 33, 36}",19,106,3,-2
17,"{0, 2, 5, 6, 9, 10, 13, 14, 15, 17}",10,32,2,-2
46,"{0, 1, 3, 4, 5, 6, 7, 11, 12, 14, 15, 17, 18, 19, 21, 22, 23, 24, 27, 28, 32, 38, 39, 40, 44, 46}",26,136,3,-2
36,"{0, 1, 2, 4, 7, 8, 9, 10, 15, 16, 18, 20, 24, 25, 26, 29, 32, 33, 36}",19,106,3,-2
43,"{0, 2, 3, 4, 7, 10, 11, 13, 14, 17, 18, 24, 25, 28, 29, 32, 34, 37, 38, 39, 41, 43}",22,84,2,-2
8,"{0, 8, 2, 7}",4,38,5,-2
37,"{0, 3, 4, 6, 10, 11, 13, 15, 16, 17, 19, 20, 22, 23, 25, 27, 28, 29, 30, 31, 35, 36, 37}",23,109,3,-2
37,"{0, 2, 36, 37, 7, 8, 11, 14, 15, 16, 17, 21, 22, 24, 25, 26, 27, 29}",18,257,7,-2
14,"{0, 2, 5, 7, 10, 11, 12, 14}",8,54,4,-2
34,"{32, 1, 0, 34, 5, 7, 8, 9, 10, 12, 13, 16, 19, 22, 24, 25, 27, 28}",18,134,4,-2
29,"{0, 3, 4, 7, 8, 9, 11, 13, 17, 18, 19, 21, 22, 24, 26, 27, 28, 29}",18,56,2,-2
41,"{0, 2, 3, 7, 8, 12, 15, 18, 20, 21, 22, 23, 24, 25, 27, 28, 30, 32, 34, 35, 36, 39, 41}",23,121,3,-2
48,"{0, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 19, 20, 22, 23, 25, 26, 27, 30, 31, 32, 34, 35, 37, 39, 40, 42, 45, 47, 48}",31,142,3,-2
14,"{0, 3, 4, 6, 7, 8, 10, 11, 13, 14}",10,26,2,-2
12,"{0, 1, 5, 10, 12}",5,58,5,-2
37,"{0, 3, 4, 5, 7, 8, 9, 11, 13, 14, 15, 16, 18, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 35, 37}",25,72,2,-2
10,"{0, 1, 3, 6, 8, 10}",6,28,3,-2
27,"{0, 1, 3, 4, 5, 8, 9, 11, 12, 13, 15, 16, 17, 20, 21, 22, 24, 27}",18,52,2,-2
35,"{0, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34, 35}",26,68,2,-2
8,"{0, 1, 2, 3, 5, 8}",6,6,1,-2
21,"{0, 1, 3, 4, 6, 7, 11, 12, 13, 14, 15, 16, 18, 21}",14,40,2,-2
8,"{0, 1, 2, 4, 5, 8}",6,6,1,-2
10,"{0, 2, 3, 5, 6, 8, 10}",7,18,2,-2
8,"{0, 3, 4, 5, 6, 8}",6,6,1,-2
29,"{0, 2, 3, 4, 5, 7, 9, 11, 13, 17, 20, 21, 22, 23, 24, 25, 27, 29}",18,56,2,-2
36,"{0, 1, 2, 4, 6, 9, 12, 13, 16, 17, 20, 22, 24, 27, 28, 29, 30, 31, 33, 36}",20,70,2,-2
44,"{0, 1, 34, 5, 6, 38, 8, 37, 40, 39, 44, 22, 23}",13,174,4,-2
24,"{0, 1, 3, 5, 6, 8, 9, 11, 14, 15, 17, 19, 21, 24}",14,70,3,-2
12,"{0, 3, 4, 6, 7, 8, 10, 11, 12}",9,22,2,-2
36,"{0, 1, 2, 5, 6, 7, 8, 9, 11, 13, 17, 19, 20, 21, 27, 28, 29, 30, 32, 34, 36}",21,70,2,-2
33,"{0, 1, 2, 33, 5, 7, 8, 11, 16, 18, 19, 22, 23, 24, 25, 26, 31}",17,97,3,-2
7,"{0, 1, 2, 4, 7}",5,5,1,-2
48,"{0, 1, 32, 39, 44, 45, 48, 28, 29}",9,1294,27,-2
18,"{0, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 16, 18}",13,34,2,-2
14,"{0, 1, 2, 3, 4, 5, 7, 12, 14}",9,54,4,-2
48,"{0, 1, 2, 3, 4, 8, 10, 12, 13, 19, 21, 22, 25, 27, 33, 35, 36, 37, 40, 41, 42, 43, 45, 48}",24,94,2,-2
15,"{0, 1, 2, 3, 4, 5, 7, 9, 11, 12, 15}",11,28,2,-2
11,"{0, 3, 4, 7, 8, 9, 10, 11}",8,20,2,-2
14,"{0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 14}",11,26,2,-2
33,"{0, 1, 33, 3, 5, 6, 10, 11, 13, 16, 19, 20, 21, 23, 27, 29, 30}",17,97,3,-2
16,"{0, 2, 3, 7, 11, 14, 16}",7,62,4,-2
8,"{0, 1, 4, 5, 8}",5,22,3,-2
32,"{0, 1, 32, 5, 6, 7, 10, 11, 15, 16, 17, 18, 20, 21, 22, 25, 28, 29}",18,126,4,-2
17,"{0, 1, 2, 3, 5, 6, 10, 11, 13, 15, 17}",11,32,2,-2
41,"{0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 16, 18, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 36, 37, 41}",25,121,3,-2
16,"{0, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16}",13,30,2,-2
19,"{0, 2, 7, 8, 9, 11, 13, 16, 18, 19}",10,55,3,-2
16,"{0, 3, 4, 5, 8, 10, 11, 12, 13, 14, 16}",11,30,2,-2
19,"{0, 1, 2, 4, 5, 6, 9, 11, 12, 17, 19}",11,55,3,-2
35,"{0, 3, 5, 7, 9, 10, 11, 12, 14, 15, 16, 18, 20, 22, 23, 26, 28, 29, 32, 34, 35}",21,103,3,-2
8,"{0, 1, 2, 4, 6, 8}",6,6,1,-2
35,"{0, 2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 23, 24, 28, 29, 31, 32, 33, 35}",24,68,2,-2
33,"{0, 2, 3, 4, 5, 7, 8, 10, 13, 15, 16, 17, 19, 20, 22, 24, 28, 29, 30, 33}",20,64,2,-2
15,"{0, 1, 3, 4, 5, 6, 8, 9, 13, 15}",10,28,2,-2
26,"{0, 3, 4, 7, 8, 9, 11, 12, 14, 16, 18, 20, 22, 23, 24, 25, 26}",17,50,2,-2
7,"{0, 2, 4, 5, 7}",5,5,1,-2
29,"{0, 1, 3, 4, 7, 10, 11, 12, 14, 16, 17, 19, 22, 23, 24, 25, 29}",17,85,3,-2
30,"{0, 1, 2, 4, 5, 6, 9, 11, 16, 17, 18, 19, 20, 22, 23, 26, 27, 30}",18,88,3,-2
8,"{0, 4, 5, 6, 7, 8}",6,6,1,-2
37,"{0, 33, 2, 3, 34, 32, 37, 10, 14, 16, 18, 21, 22, 27, 29, 30, 31}",17,146,4,-2
13,"{0, 1, 2, 3, 4, 5, 6, 9, 10, 13}",10,24,2,-2
48,"{0, 2, 5, 6, 7, 8, 9, 10, 13, 15, 16, 17, 19, 21, 23, 29, 30, 31, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 48}",30,94,2,-2
16,"{0, 1, 9, 10, 11, 12, 13, 16}",8,110,7,-2
13,"{0, 1, 2, 3, 5, 6, 9, 10, 13}",9,37,3,-2
34,"{0, 3, 4, 5, 6, 7, 8, 9, 13, 15, 17, 18, 19, 21, 24, 25, 26, 28, 31, 32, 34}",21,100,3,-2
49,"{0, 3, 5, 6, 7, 10, 12, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25, 27, 28, 30, 31, 34, 36, 37, 39, 40, 46, 48, 49}",29,194,4,-2
17,"{0, 1, 5, 10, 11, 13, 14, 17}",8,83,5,-2
27,"{0, 1, 4, 5, 6, 13, 14, 18, 19, 20, 21, 22, 24, 27}",14,79,3,-2
41,"{0, 2, 3, 35, 36, 6, 7, 8, 9, 39, 41, 16, 22, 23, 27, 30}",16,121,3,-2
21,"{0, 2, 4, 6, 7, 8, 10, 14, 19, 20, 21}",11,61,3,-2
36,"{0, 2, 6, 7, 8, 14, 15, 17, 18, 19, 21, 22, 23, 26, 27, 28, 31, 33, 34, 35, 36}",21,106,3,-2
25,"{0, 1, 2, 5, 6, 10, 11, 14, 17, 18, 21, 22, 25}",13,73,3,-2
20,"{0, 1, 2, 6, 10, 12, 13, 14, 15, 16, 20}",11,58,3,-2
42,"{0, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 24, 25, 27, 30, 31, 36, 37, 39, 41, 42}",24,82,2,-2
6,"{0, 1, 4, 6}",4,10,2,-2
9,"{0, 2, 5, 6, 7, 9}",6,16,2,-2
15,"{0, 1, 2, 5, 8, 9, 11, 13, 15}",9,28,2,-2
47,"{0, 1, 2, 5, 7, 9, 12, 13, 15, 16, 17, 19, 21, 22, 25, 26, 28, 31, 34, 36, 37, 38, 40, 41, 43, 45, 47}",27,92,2,-2
7,"{0, 1, 2, 3, 7}",5,5,1,-2
