m,A,|A|,b,k,const
31,"{0, 1, 4, 5, 6, 7, 9, 12, 13, 15, 16, 18, 20, 21, 28, 29, 31}",17,93,3,0
18,"{0, 1, 4, 13, 14, 15, 16, 17, 18}",9,72,4,0
32,"{0, 32, 2, 3, 7, 8, 12, 13, 14, 18, 19, 21, 22, 26, 27, 28, 30, 31}",18,64,2,0
24,"{0, 1, 4, 5, 7, 8, 10, 12, 16, 17, 18, 20, 21, 22, 24}",15,72,3,0
24,"{0, 1, 6, 10, 11, 12, 13, 14, 15, 18, 21, 22, 24}",13,120,5,0
31,"{0, 1, 4, 10, 16, 18, 19, 21, 22, 24, 25, 27, 28, 29, 31}",15,124,4,0
10,"{0, 1, 3, 4, 5, 6, 7, 8, 10}",9,20,2,0
42,"{0, 1, 2, 4, 5, 9, 10, 11, 12, 15, 18, 20, 21, 22, 23, 24, 27, 30, 34, 35, 39, 40, 42}",23,126,3,0
18,"{0, 1, 3, 4, 11, 15, 16, 18}",8,54,3,0
18,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 16, 17, 18}",15,36,2,0
34,"{32, 0, 2, 3, 33, 34, 7, 10, 11, 12, 13, 15, 19, 23, 26, 28}",16,102,3,0
17,"{0, 1, 3, 4, 5, 8, 9, 13, 14, 15, 17}",11,34,2,0
16,"{0, 2, 3, 4, 6, 7, 9, 11, 13, 15, 16}",11,32,2,0
43,"{0, 2, 3, 6, 7, 8, 9, 10, 11, 14, 16, 18, 19, 20, 21, 23, 25, 27, 28, 29, 30, 31, 32, 35, 38, 39, 42, 43}",28,129,3,0
27,"{0, 1, 3, 4, 7, 8, 11, 12, 16, 17, 20, 23, 24, 25, 27}",15,54,2,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
42,"{0, 32, 2, 3, 35, 36, 39, 40, 41, 10, 42, 12, 16, 19, 25, 26, 27, 29}",18,168,4,0
35,"{0, 1, 3, 7, 8, 9, 12, 13, 14, 15, 17, 18, 19, 20, 21, 24, 25, 27, 30, 31, 32, 33, 35}",23,105,3,0
16,"{0, 2, 3, 6, 8, 11, 12, 14, 15, 16}",10,48,3,0
26,"{0, 1, 5, 11, 14, 21, 22, 23, 24, 26}",10,130,5,0
42,"{0, 1, 2, 3, 4, 5, 6, 9, 10, 12, 14, 16, 17, 18, 20, 21, 22, 28, 29, 30, 33, 35, 36, 37, 39, 40, 42}",27,84,2,0
48,"{0, 1, 2, 4, 6, 7, 10, 12, 13, 16, 18, 19, 21, 22, 25, 27, 31, 35, 36, 37, 38, 40, 44, 45, 46, 48}",26,144,3,0
10,"{0, 1, 4, 7, 8, 10}",6,30,3,0
40,"{0, 2, 3, 37, 5, 39, 6, 40, 11, 12, 14, 15, 17, 19, 26, 29, 30}",17,160,4,0
16,"{0, 1, 4, 6, 7, 9, 10, 13, 14, 16}",10,48,3,0
28,"{0, 2, 3, 4, 5, 8, 10, 11, 12, 13, 15, 17, 18, 23, 24, 25, 26, 27, 28}",19,56,2,0
28,"{0, 2, 3, 6, 10, 11, 15, 17, 19, 21, 22, 24, 26, 27, 28}",15,84,3,0
23,"{0, 1, 2, 3, 4, 7, 8, 10, 11, 14, 16, 20, 21, 23}",14,69,3,0
15,"{0, 1, 2, 3, 5, 7, 10, 12, 13, 15}",10,45,3,0
47,"{0, 1, 2, 6, 7, 8, 12, 14, 16, 17, 18, 19, 22, 26, 27, 28, 30, 32, 33, 35, 36, 38, 42, 43, 44, 45, 47}",27,141,3,0
7,"{0, 1, 2, 4, 5, 7}",6,14,2,0
49,"{0, 1, 2, 6, 7, 8, 9, 10, 14, 15, 17, 18, 19, 20, 21, 22, 24, 27, 28, 29, 30, 31, 35, 36, 37, 39, 40, 43, 46, 47, 49}",31,147,3,0
39,"{0, 1, 32, 33, 36, 37, 5, 39, 8, 11, 17, 18, 20, 22, 23, 31}",16,156,4,0
14,"{0, 1, 3, 5, 6, 11, 12, 14}",8,42,3,0
39,"{0, 1, 2, 4, 5, 8, 9, 14, 16, 17, 18, 21, 23, 26, 27, 29, 31, 33, 36, 37, 39}",21,117,3,0
41,"{0, 1, 7, 8, 9, 11, 13, 14, 16, 19, 23, 25, 29, 33, 34, 35, 36, 38, 39, 41}",20,246,6,0
17,"{0, 1, 2, 4, 5, 6, 8, 11, 12, 13, 14, 15, 17}",13,34,2,0
29,"{0, 2, 3, 4, 10, 11, 12, 14, 16, 19, 22, 24, 25, 27, 28, 29}",16,87,3,0
49,"{0, 2, 3, 5, 7, 8, 11, 13, 15, 16, 25, 26, 32, 34, 37, 38, 40, 42, 44, 45, 48, 49}",22,147,3,0
30,"{0, 1, 2, 5, 6, 7, 8, 9, 11, 12, 17, 18, 20, 22, 25, 26, 27, 28, 30}",19,60,2,0
43,"{0, 1, 3, 4, 5, 7, 8, 10, 11, 12, 14, 15, 17, 20, 23, 25, 26, 29, 31, 32, 33, 35, 37, 38, 39, 40, 41, 43}",28,86,2,0
9,"{0, 2, 3, 6, 8, 9}",6,27,3,0
30,"{0, 2, 3, 5, 6, 9, 10, 11, 12, 14, 17, 20, 22, 23, 25, 26, 28, 29, 30}",19,60,2,0
43,"{0, 2, 3, 4, 5, 7, 9, 14, 15, 16, 17, 18, 19, 21, 24, 25, 29, 30, 32, 36, 38, 42, 43}",23,172,4,0
48,"{0, 2, 3, 7, 8, 9, 11, 15, 16, 17, 18, 19, 21, 22, 24, 25, 27, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 45, 47, 48}",30,144,3,0
14,"{0, 1, 3, 4, 8, 10, 11, 12, 14}",9,28,2,0
48,"{0, 1, 2, 3, 7, 10, 11, 13, 14, 17, 18, 19, 21, 26, 28, 29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 43, 45, 46, 48}",29,96,2,0
6,"{0, 2, 3, 4, 5, 6}",6,6,1,0
36,"{0, 33, 34, 35, 2, 3, 36, 15, 17, 22, 24, 27, 30}",13,216,6,0
30,"{0, 2, 3, 4, 5, 7, 8, 9, 10, 12, 18, 19, 20, 21, 22, 23, 26, 29, 30}",19,90,3,0
46,"{0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 16, 18, 19, 21, 22, 26, 28, 29, 30, 31, 32, 34, 35, 37, 38, 40, 42, 43, 44, 45, 46}",31,92,2,0
34,"{0, 1, 2, 6, 8, 9, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 25, 26, 30, 31, 32, 34}",22,102,3,0
30,"{0, 2, 3, 5, 6, 7, 11, 17, 19, 22, 23, 24, 26, 27, 28, 29, 30}",17,90,3,0
47,"{0, 1, 2, 6, 8, 14, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 38, 40, 41, 43, 44, 45, 47}",28,141,3,0
25,"{0, 1, 2, 4, 5, 7, 8, 10, 12, 15, 22, 23, 25}",13,100,4,0
7,"{0, 1, 2, 4, 5, 7}",6,14,2,0
13,"{0, 2, 3, 5, 6, 8, 9, 11, 12, 13}",10,26,2,0
40,"{0, 1, 4, 7, 9, 11, 14, 16, 17, 18, 19, 20, 21, 22, 24, 28, 30, 31, 34, 36, 37, 38, 40}",23,120,3,0
16,"{0, 1, 4, 5, 6, 8, 10, 11, 13, 14, 16}",11,48,3,0
27,"{0, 2, 3, 7, 8, 10, 13, 19, 20, 22, 26, 27}",12,108,4,0
22,"{0, 1, 2, 3, 6, 7, 8, 9, 13, 15, 16, 17, 19, 20, 22}",15,44,2,0
36,"{0, 1, 4, 5, 6, 7, 8, 10, 11, 13, 15, 16, 18, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36}",23,108,3,0
31,"{0, 1, 3, 4, 5, 6, 8, 9, 11, 12, 14, 15, 17, 19, 20, 21, 27, 28, 29, 31}",20,93,3,0
42,"{0, 2, 3, 4, 7, 8, 9, 12, 14, 15, 16, 17, 20, 21, 25, 26, 27, 28, 29, 30, 31, 32, 34, 38, 39, 40, 41, 42}",28,84,2,0
29,"{0, 2, 3, 4, 8, 11, 12, 13, 14, 16, 17, 18, 20, 22, 25, 26, 27, 28, 29}",19,87,3,0
44,"{0, 2, 3, 6, 8, 10, 13, 14, 15, 19, 20, 21, 23, 27, 32, 33, 34, 35, 37, 40, 41, 42, 43, 44}",24,132,3,0
36,"{0, 1, 34, 32, 33, 36, 7, 9, 18, 19, 20, 21, 27, 29, 31}",15,216,6,0
17,"{0, 1, 4, 7, 8, 11, 14, 15, 17}",9,51,3,0
12,"{0, 1, 2, 9, 10, 12}",6,48,4,0
46,"{0, 2, 3, 6, 8, 9, 13, 18, 23, 24, 25, 30, 31, 33, 36, 37, 39, 40, 43, 45, 46}",21,138,3,0
48,"{0, 1, 2, 3, 6, 7, 8, 10, 11, 14, 16, 17, 18, 20, 22, 23, 25, 26, 27, 29, 30, 31, 35, 37, 38, 39, 41, 42, 45, 46, 48}",31,96,2,0
39,"{0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 19, 20, 22, 24, 25, 27, 29, 31, 33, 34, 35, 36, 37, 39}",28,78,2,0
12,"{0, 2, 3, 4, 5, 7, 9, 10, 11, 12}",10,24,2,0
48,"{0, 1, 3, 5, 9, 11, 12, 13, 14, 15, 17, 19, 21, 22, 25, 29, 33, 37, 38, 40, 43, 44, 45, 46, 48}",25,144,3,0
16,"{0, 1, 5, 6, 7, 8, 13, 14, 16}",9,64,4,0
12,"{0, 1, 6, 9, 11, 12}",6,48,4,0
21,"{0, 1, 5, 9, 10, 11, 14, 15, 18, 19, 21}",11,84,4,0
6,"{0, 1, 3, 4, 6}",5,12,2,0
34,"{0, 1, 32, 34, 7, 15, 18, 21, 22, 23, 25, 30, 31}",13,238,7,0
9,"{0, 2, 3, 4, 8, 9}",6,36,4,0
43,"{0, 1, 2, 3, 5, 7, 8, 10, 11, 15, 16, 19, 27, 29, 31, 34, 36, 38, 39, 40, 41, 43}",22,129,3,0
15,"{0, 1, 5, 7, 8, 10, 11, 12, 13, 15}",10,60,4,0
36,"{0, 2, 3, 5, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 23, 25, 26, 28, 30, 35, 36}",23,180,5,0
46,"{0, 1, 5, 6, 7, 9, 11, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 26, 27, 33, 36, 37, 38, 39, 43, 44, 46}",27,184,4,0
40,"{0, 1, 2, 35, 36, 37, 5, 38, 8, 40, 14, 15, 18, 24, 27, 28, 29}",17,120,3,0
7,"{0, 1, 4, 5, 7}",5,21,3,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
12,"{0, 1, 2, 3, 4, 7, 9, 10, 12}",9,24,2,0
26,"{0, 1, 2, 3, 6, 8, 9, 11, 14, 15, 16, 17, 20, 21, 23, 24, 26}",17,52,2,0
19,"{0, 1, 2, 4, 5, 6, 7, 9, 12, 16, 17, 19}",12,57,3,0
8,"{0, 2, 3, 6, 7, 8}",6,16,2,0
45,"{0, 2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 27, 28, 33, 34, 35, 36, 38, 39, 40, 44, 45}",31,180,4,0
13,"{0, 1, 6, 9, 10, 11, 13}",7,65,5,0
18,"{0, 1, 3, 8, 11, 12, 13, 14, 15, 16, 18}",11,54,3,0
48,"{0, 1, 2, 7, 8, 11, 13, 14, 15, 16, 17, 21, 25, 27, 28, 29, 34, 37, 38, 40, 41, 44, 45, 46, 48}",25,144,3,0
44,"{0, 1, 2, 3, 10, 11, 13, 14, 16, 18, 28, 30, 31, 32, 33, 35, 37, 38, 39, 40, 41, 42, 44}",23,132,3,0
14,"{0, 1, 3, 4, 6, 9, 10, 11, 12, 14}",10,28,2,0
30,"{0, 2, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 29, 30}",23,60,2,0
29,"{0, 1, 6, 7, 9, 10, 12, 15, 18, 20, 22, 26, 27, 29}",14,145,5,0
15,"{0, 2, 3, 4, 7, 8, 10, 12, 13, 14, 15}",11,30,2,0
5,"{0, 1, 2, 3, 5}",5,5,1,0
48,"{0, 2, 3, 4, 5, 7, 8, 11, 12, 13, 16, 17, 18, 22, 25, 27, 28, 30, 31, 35, 36, 38, 40, 41, 42, 43, 45, 46, 47, 48}",30,96,2,0
26,"{0, 1, 3, 5, 11, 14, 15, 17, 22, 23, 24, 26}",12,78,3,0
32,"{0, 1, 3, 4, 6, 8, 9, 14, 15, 16, 17, 18, 21, 23, 24, 26, 27, 28, 29, 30, 32}",21,64,2,0
6,"{0, 1, 3, 4, 6}",5,12,2,0
35,"{0, 1, 2, 32, 33, 35, 6, 14, 15, 17, 18, 19, 20, 21, 26, 28, 31}",17,140,4,0
29,"{0, 1, 4, 16, 22, 25, 26, 27, 29}",9,174,6,0
17,"{0, 1, 2, 3, 4, 8, 14, 15, 17}",9,68,4,0
48,"{0, 1, 2, 3, 4, 6, 8, 10, 11, 12, 13, 14, 18, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 39, 43, 44, 45, 46, 48}",32,96,2,0
19,"{0, 2, 3, 5, 9, 12, 13, 15, 18, 19}",10,57,3,0
14,"{0, 1, 3, 4, 6, 9, 11, 12, 14}",9,42,3,0
39,"{0, 2, 3, 8, 10, 11, 12, 13, 14, 18, 19, 20, 23, 24, 25, 27, 30, 31, 32, 33, 34, 37, 38, 39}",24,117,3,0
47,"{0, 1, 2, 5, 6, 8, 9, 14, 17, 19, 20, 21, 22, 24, 26, 30, 31, 35, 38, 40, 44, 45, 47}",23,141,3,0
7,"{0, 2, 3, 6, 7}",5,21,3,0
