m,A,|A|,b,k,const
9,"{0, 2, 5, 7, 9}",5,32,4,-4
23,"{0, 1, 4, 5, 6, 7, 9, 12, 15, 18, 19, 23}",12,65,3,-4
7,"{0, 2, 3, 7}",4,10,2,-4
44,"{0, 1, 2, 3, 4, 5, 12, 15, 22, 25, 27, 29, 32, 33, 35, 36, 37, 39, 44}",19,128,3,-4
8,"{0, 4, 6, 7, 8}",5,12,2,-4
23,"{0, 1, 2, 3, 4, 7, 12, 14, 17, 19, 23}",11,65,3,-4
20,"{0, 1, 2, 3, 6, 8, 9, 12, 13, 14, 15, 20}",12,36,2,-4
48,"{0, 1, 4, 6, 7, 8, 10, 13, 15, 17, 19, 21, 22, 26, 27, 29, 30, 31, 34, 35, 37, 38, 40, 43, 44, 48}",26,140,3,-4
13,"{0, 1, 2, 3, 4, 5, 7, 10, 13}",9,9,1,-4
31,"{0, 2, 3, 5, 8, 9, 10, 11, 13, 17, 19, 20, 21, 26, 28, 31}",16,89,3,-4
30,"{0, 1, 2, 4, 5, 8, 10, 13, 15, 16, 19, 20, 22, 23, 24, 25, 30}",17,56,2,-4
24,"{0, 2, 3, 5, 8, 9, 10, 12, 13, 15, 16, 17, 18, 21, 24}",15,44,2,-4
28,"{0, 2, 5, 6, 8, 9, 12, 14, 15, 17, 18, 21, 22, 26, 28}",15,52,2,-4
37,"{0, 1, 3, 4, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 25, 27, 28, 30, 31, 32, 37}",23,70,2,-4
34,"{0, 1, 2, 3, 6, 7, 11, 12, 13, 14, 15, 18, 19, 24, 25, 26, 28, 29, 34}",19,64,2,-4
28,"{0, 2, 6, 7, 9, 12, 13, 15, 22, 23, 24, 25, 28}",13,80,3,-4
41,"{0, 3, 4, 8, 9, 10, 11, 16, 17, 18, 20, 22, 27, 28, 29, 30, 31, 33, 34, 36, 39, 41}",22,119,3,-4
21,"{0, 2, 5, 6, 7, 9, 10, 12, 13, 14, 17, 19, 21}",13,38,2,-4
