m,A,|A|,b,k,const
27,"{0, 1, 2, 4, 9, 10, 12, 18, 27}",9,60,3,-21
38,"{0, 38, 8, 9, 11, 12, 15, 17, 19, 20, 24, 25, 26, 27, 29}",15,55,2,-21
41,"{0, 38, 7, 41, 11, 13, 22, 23, 24, 27, 28}",11,184,5,-21
40,"{0, 1, 5, 40, 11, 12, 13, 22, 23, 27, 31}",11,179,5,-21
26,"{0, 1, 2, 4, 12, 14, 18, 26}",8,83,4,-21
40,"{0, 1, 3, 5, 7, 40, 10, 11, 17, 18, 23, 24, 30}",13,99,3,-21
45,"{0, 36, 37, 40, 9, 41, 8, 13, 45, 16, 18, 22, 27, 29}",14,114,3,-21
23,"{0, 5, 7, 8, 19, 23}",6,71,4,-21
49,"{0, 33, 35, 37, 7, 8, 41, 42, 10, 49, 21, 22, 31}",13,175,4,-21
31,"{0, 8, 13, 15, 17, 18, 19, 21, 22, 23, 31}",11,72,3,-21
26,"{0, 1, 4, 18, 22, 26}",6,135,6,-21
25,"{0, 1, 2, 4, 11, 16, 25}",7,79,4,-21
29,"{0, 3, 7, 10, 20, 21, 29}",7,153,6,-21
28,"{0, 4, 16, 17, 18, 25, 28}",7,91,4,-21
25,"{0, 2, 4, 23, 25}",5,454,19,-21
22,"{0, 5, 13, 18, 20, 22}",6,67,4,-21
18,"{0, 6, 9, 16, 18}",5,87,6,-21
13,"{0, 13, 4, 5}",4,31,4,-21
