m,A,|A|,b,k,const
44,"{32, 0, 35, 3, 37, 5, 7, 10, 44, 13, 15, 17, 19, 21, 22, 27, 30}",17,118,3,-14
11,"{0, 11, 3, 5}",4,19,3,-14
41,"{0, 33, 3, 37, 6, 5, 9, 10, 41, 15, 18, 19, 21, 24, 25, 26, 28}",17,109,3,-14
35,"{0, 33, 2, 35, 13, 16, 21}",7,231,7,-14
14,"{0, 2, 4, 7, 9, 14}",6,28,3,-14
16,"{0, 1, 2, 3, 4, 5, 16}",7,18,2,-14
43,"{0, 4, 7, 11, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 27, 30, 33, 36, 38, 43}",20,158,4,-14
31,"{0, 2, 7, 8, 9, 10, 14, 17, 28, 31}",10,141,5,-14
40,"{0, 33, 34, 5, 7, 8, 40, 14, 18, 23, 25, 30}",12,106,3,-14
43,"{0, 1, 32, 3, 4, 36, 6, 11, 43, 16, 17, 19, 24, 25, 26}",15,115,3,-14
13,"{0, 1, 2, 4, 13}",5,25,3,-14
32,"{0, 1, 32, 6, 8, 9, 15, 24, 28}",9,146,5,-14
30,"{0, 3, 4, 5, 6, 8, 10, 12, 14, 18, 24, 26, 30}",13,76,3,-14
18,"{0, 1, 5, 6, 8, 18}",6,58,4,-14
17,"{0, 2, 7, 9, 12, 17}",6,54,4,-14
41,"{0, 34, 35, 36, 4, 7, 41, 16, 18, 20, 28}",11,150,4,-14
19,"{0, 2, 3, 7, 8, 9, 19}",7,24,2,-14
16,"{0, 2, 3, 5, 6, 16}",6,18,2,-14
19,"{0, 4, 7, 9, 13, 16, 19}",7,43,3,-14
32,"{0, 32, 3, 6, 8, 9, 13, 26, 30}",9,146,5,-14
23,"{0, 2, 4, 6, 8, 9, 14, 15, 16, 23}",10,32,2,-14
16,"{0, 8, 10, 13, 14, 16}",6,18,2,-14
34,"{0, 34, 3, 6, 12, 15, 16, 21, 23, 27, 28, 30, 31}",13,88,3,-14
47,"{32, 0, 2, 36, 5, 6, 37, 40, 11, 47, 16, 18, 19, 21}",14,174,4,-14
11,"{0, 11, 3, 4}",4,19,3,-14
46,"{32, 0, 37, 7, 40, 39, 10, 44, 46, 15, 16, 19, 22, 23, 28}",15,124,3,-14
24,"{0, 1, 5, 10, 15, 16, 24}",7,106,5,-14
21,"{0, 2, 4, 9, 13, 14, 21}",7,70,4,-14
49,"{0, 3, 35, 5, 8, 42, 44, 15, 17, 49, 22, 26, 27, 30}",14,231,5,-14
16,"{0, 1, 5, 9, 16}",5,66,5,-14
26,"{0, 2, 3, 4, 10, 11, 12, 20, 26}",9,90,4,-14
35,"{0, 2, 3, 35, 7, 9, 10, 11, 14, 15, 16, 19, 21, 23, 26}",15,91,3,-14
25,"{0, 3, 5, 6, 7, 10, 11, 13, 15, 20, 25}",11,11,1,-14
38,"{0, 2, 3, 38, 8, 11, 15, 18, 21, 22, 23, 24, 30, 31}",14,100,3,-14
44,"{0, 36, 38, 40, 9, 42, 43, 12, 44, 16, 17, 19, 22, 25, 27, 29}",16,118,3,-14
7,"{0, 1, 7}",3,21,5,-14
34,"{0, 34, 7, 9, 10, 17, 30, 31}",8,190,6,-14
28,"{0, 1, 4, 5, 7, 11, 12, 14, 17, 20, 28}",11,70,3,-14
20,"{0, 2, 3, 6, 7, 12, 20}",7,46,3,-14
