m,A,|A|,b,k,const
28,"{0, 4, 9, 10, 14, 15, 16, 17, 19, 24, 28}",11,71,3,-13
17,"{0, 2, 5, 7, 11, 17}",6,55,4,-13
32,"{0, 32, 2, 3, 8, 9, 14, 16, 18, 19, 21, 24}",12,83,3,-13
46,"{32, 0, 36, 4, 6, 7, 37, 9, 39, 12, 14, 46, 18, 22, 31}",15,125,3,-13
23,"{0, 3, 7, 10, 12, 13, 16, 17, 23}",9,56,3,-13
41,"{0, 4, 37, 6, 7, 41, 11, 14, 15, 17, 19, 22, 23, 24, 27, 30}",16,192,5,-13
24,"{0, 4, 7, 12, 13, 14, 15, 16, 17, 24}",10,35,2,-13
35,"{0, 2, 35, 4, 6, 11, 12, 19, 20, 22, 24, 25, 29}",13,92,3,-13
21,"{0, 2, 3, 7, 9, 10, 13, 21}",8,29,2,-13
21,"{0, 2, 3, 5, 12, 14, 15, 21}",8,29,2,-13
49,"{32, 0, 3, 35, 5, 37, 40, 41, 43, 49, 19, 21, 22, 23, 24}",15,232,5,-13
14,"{0, 4, 5, 10, 14}",5,57,5,-13
16,"{0, 3, 6, 9, 10, 12, 16}",7,19,2,-13
47,"{0, 2, 5, 38, 7, 8, 9, 43, 47, 16, 17, 20, 21, 25, 30, 31}",16,175,4,-13
38,"{0, 3, 35, 38, 7, 8, 10, 11, 12, 14, 16, 18, 26, 27}",14,139,4,-13
15,"{0, 1, 2, 3, 9, 15}",6,17,2,-13
18,"{0, 4, 5, 10, 12, 14, 18}",7,41,3,-13
22,"{0, 1, 2, 4, 7, 10, 11, 12, 22}",9,9,1,-13
40,"{0, 1, 2, 3, 4, 8, 40, 11, 12, 13, 14, 16, 18, 21, 26, 28, 29, 30}",18,67,2,-13
15,"{0, 5, 9, 10, 11, 15}",6,17,2,-13
37,"{0, 1, 2, 3, 5, 37, 8, 9, 11, 12, 14, 15, 19, 21, 24, 27, 31}",17,98,3,-13
