m,A,|A|,b,k,const
24,"{0, 1, 2, 3, 10, 11, 24}",7,73,4,-23
24,"{0, 6, 9, 10, 13, 16, 24}",7,49,3,-23
23,"{0, 4, 5, 8, 9, 16, 23}",7,23,2,-23
19,"{0, 1, 2, 9, 10, 19}",6,72,5,-23
39,"{0, 1, 39, 22, 25, 31}",6,796,21,-23
14,"{0, 3, 5, 14}",4,33,4,-23
42,"{0, 32, 2, 34, 10, 42, 13, 15, 24, 25, 26}",11,187,5,-23
19,"{0, 3, 10, 16, 19}",5,148,9,-23
48,"{32, 0, 4, 36, 10, 11, 44, 15, 48, 18, 21, 27, 29, 31}",14,169,4,-23
17,"{0, 3, 5, 6, 17}",5,28,3,-23
16,"{0, 16, 13, 5}",4,105,8,-23
46,"{32, 0, 3, 5, 10, 14, 46, 17, 21, 24, 26, 27, 30, 31}",14,161,4,-23
34,"{0, 1, 34, 6, 15, 18, 27}",7,181,6,-23
20,"{0, 7, 13, 18, 20}",5,97,6,-23
