m,A,|A|,b,k,const
30,"{0, 3, 7, 8, 11, 12, 15, 17, 19, 22, 30}",11,73,3,-17
26,"{0, 1, 2, 4, 5, 22, 24, 26}",8,87,4,-17
45,"{0, 33, 2, 4, 39, 42, 45, 14, 15, 16, 17, 18, 23, 24, 25, 31}",16,118,3,-17
31,"{0, 3, 6, 7, 11, 13, 15, 17, 18, 20, 21, 31}",12,45,2,-17
14,"{0, 3, 5, 7, 14}",5,25,3,-17
21,"{0, 6, 8, 12, 13, 18, 21}",7,46,3,-17
14,"{0, 2, 4, 9, 14}",5,25,3,-17
25,"{0, 1, 9, 16, 19, 25}",6,183,8,-17
25,"{0, 9, 11, 13, 17, 21, 22, 25}",8,83,4,-17
36,"{32, 0, 2, 36, 10, 12, 17, 23, 24, 27}",10,127,4,-17
21,"{0, 12, 13, 14, 16, 17, 19, 21}",8,25,2,-17
17,"{0, 5, 10, 11, 14, 17}",6,34,3,-17
24,"{0, 1, 7, 14, 15, 24}",6,151,7,-17
37,"{0, 1, 2, 3, 37, 6, 8, 9, 10, 16, 22, 25, 30}",13,94,3,-17
37,"{0, 5, 6, 37, 11, 12, 14, 19, 20, 22, 26, 27, 28, 29}",14,94,3,-17
33,"{0, 33, 3, 5, 8, 10, 12, 15, 22, 28}",10,115,4,-17
46,"{32, 0, 33, 3, 35, 40, 41, 43, 46, 15, 18, 22, 23, 26, 29}",15,213,5,-17
44,"{32, 0, 33, 35, 37, 40, 41, 8, 43, 44, 14, 15, 17, 24, 25, 31}",16,115,3,-17
43,"{32, 0, 2, 3, 5, 7, 9, 10, 11, 43, 13, 16, 17, 24, 25, 27, 28, 29}",18,112,3,-17
14,"{0, 2, 4, 7, 14}",5,25,3,-17
