m,A,|A|,b,k,const
26,"{0, 6, 9, 14, 17, 26}",6,97,5,-33
35,"{0, 35, 10, 11, 12, 16, 21, 22, 25}",9,72,3,-33
21,"{0, 4, 10, 11, 21}",5,51,4,-33
45,"{0, 33, 36, 37, 41, 10, 11, 45, 21, 23, 28, 29}",12,102,3,-33
21,"{0, 4, 6, 9, 21}",5,51,4,-33
34,"{0, 34, 11, 13, 24, 25, 27, 29}",8,103,4,-33
44,"{0, 35, 38, 9, 10, 44, 13, 19, 21}",9,231,6,-33
36,"{0, 1, 3, 36, 6, 9, 18, 23}",8,111,4,-33
39,"{0, 35, 6, 39, 13, 23, 24, 28, 31}",9,123,4,-33
48,"{0, 1, 4, 12, 15, 48, 24, 26, 28, 31}",10,207,5,-33
