m,A,|A|,b,k,const
11,"{0, 1, 5, 6, 7, 9, 11}",7,43,4,-1
11,"{0, 2, 3, 4, 7, 8, 9, 11}",8,21,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
17,"{0, 2, 5, 11, 16, 17}",6,101,6,-1
14,"{0, 1, 3, 5, 8, 9, 10, 11, 14}",9,41,3,-1
14,"{0, 1, 3, 5, 6, 8, 9, 10, 11, 14}",10,27,2,-1
11,"{0, 1, 2, 3, 6, 7, 8, 11}",8,21,2,-1
8,"{0, 1, 3, 4, 6, 8}",6,15,2,-1
5,"{0, 1, 3, 5}",4,4,1,-1
19,"{0, 1, 3, 4, 5, 6, 9, 10, 11, 13, 14, 17, 19}",13,37,2,-1
15,"{0, 1, 5, 6, 9, 10, 11, 12, 15}",9,59,4,-1
6,"{0, 2, 3, 4, 6}",5,5,1,-1
10,"{0, 2, 3, 6, 7, 8, 10}",7,19,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
13,"{0, 2, 3, 6, 8, 9, 10, 11, 13}",9,38,3,-1
5,"{0, 1, 4, 5}",4,9,2,-1
18,"{0, 2, 4, 5, 6, 14, 15, 16, 17, 18}",10,53,3,-1
5,"{0, 1, 3, 5}",4,4,1,-1
5,"{0, 2, 3, 5}",4,4,1,-1
6,"{0, 2, 4, 5, 6}",5,5,1,-1
13,"{0, 1, 4, 6, 8, 11, 13}",7,51,4,-1
9,"{0, 2, 4, 5, 8, 9}",6,26,3,-1
7,"{0, 2, 3, 4, 5, 7}",6,6,1,-1
13,"{0, 2, 5, 7, 9, 10, 11, 12, 13}",9,51,4,-1
12,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 12}",10,23,2,-1
6,"{0, 2, 4, 5, 6}",5,5,1,-1
5,"{0, 1, 2, 5}",4,4,1,-1
11,"{0, 1, 5, 6, 7, 8, 11}",7,43,4,-1
9,"{0, 1, 3, 4, 5, 7, 9}",7,17,2,-1
13,"{0, 1, 5, 6, 7, 8, 9, 11, 13}",9,51,4,-1
18,"{0, 1, 3, 4, 7, 8, 9, 10, 13, 14, 15, 18}",12,35,2,-1
11,"{0, 1, 2, 4, 6, 7, 8, 11}",8,21,2,-1
13,"{0, 2, 3, 4, 5, 10, 11, 13}",8,38,3,-1
9,"{0, 1, 2, 3, 4, 7, 9}",7,17,2,-1
6,"{0, 2, 3, 4, 6}",5,5,1,-1
5,"{0, 2, 3, 5}",4,4,1,-1
