m,A,|A|,b,k,const
39,"{0, 33, 32, 36, 6, 39, 13, 18, 21, 24, 25, 31}",12,51,2,-27
33,"{0, 33, 4, 8, 13, 15, 16, 17, 18, 21}",10,72,3,-27
32,"{0, 32, 10, 12, 14, 16, 22, 23, 24, 25}",10,69,3,-27
26,"{0, 5, 12, 14, 15, 17, 26}",7,51,3,-27
32,"{0, 32, 7, 15, 17, 21, 23, 28}",8,101,4,-27
21,"{0, 2, 3, 5, 7, 21}",6,36,3,-27
30,"{0, 3, 4, 14, 20, 22, 30}",7,123,5,-27
42,"{32, 0, 34, 35, 9, 10, 42, 14, 26, 27, 29}",11,99,3,-27
46,"{0, 33, 3, 8, 46, 19, 21, 24, 26, 29, 30}",11,249,6,-27
34,"{0, 34, 9, 10, 11, 14, 21, 23, 27}",9,109,4,-27
42,"{0, 33, 34, 4, 6, 9, 10, 42, 12, 14, 15, 16, 18, 22, 24}",15,57,2,-27
