m,A,|A|,b,k,const
37,"{0, 2, 5, 6, 37, 11, 13, 17, 19, 26, 28}",11,87,3,-24
12,"{0, 1, 12, 6}",4,36,5,-24
32,"{0, 32, 3, 8, 14, 17, 21, 25}",8,168,6,-24
12,"{0, 1, 2, 12}",4,36,5,-24
39,"{0, 3, 7, 39, 10, 11, 24, 26, 30}",9,171,5,-24
20,"{0, 9, 15, 17, 20}",5,56,4,-24
29,"{0, 4, 7, 13, 14, 21, 22, 29}",8,150,6,-24
47,"{0, 5, 6, 39, 8, 10, 12, 14, 47, 16, 19, 21, 24, 28, 29, 30}",16,164,4,-24
28,"{0, 7, 14, 20, 21, 23, 25, 27, 28}",9,32,2,-24
22,"{0, 3, 7, 8, 10, 22}",6,64,4,-24
31,"{0, 3, 9, 20, 21, 27, 31}",7,131,5,-24
38,"{32, 0, 3, 6, 7, 38, 13, 17, 25}",9,204,6,-24
21,"{0, 4, 15, 16, 21}",5,81,5,-24
27,"{0, 9, 11, 13, 19, 20, 23, 27}",8,57,3,-24
49,"{0, 1, 36, 5, 38, 49, 20, 23, 26, 31}",10,319,7,-24
