m,A,|A|,b,k,const
19,"{0, 5, 9, 10, 13, 16, 19}",7,22,2,-16
49,"{0, 33, 34, 3, 5, 39, 42, 14, 15, 17, 18, 19, 49, 22, 23, 25, 27, 29}",18,180,4,-16
23,"{0, 1, 3, 4, 5, 18, 23}",7,76,4,-16
41,"{32, 33, 34, 0, 4, 6, 8, 41, 15, 23, 29, 30}",12,148,4,-16
35,"{0, 2, 35, 4, 11, 12, 15, 17, 18, 28, 29}",11,124,4,-16
46,"{0, 2, 3, 5, 6, 7, 10, 12, 13, 14, 16, 18, 19, 20, 22, 25, 28, 30, 35, 37, 46}",21,122,3,-16
30,"{0, 1, 5, 6, 7, 8, 9, 11, 15, 23, 30}",11,104,4,-16
28,"{0, 2, 3, 6, 9, 14, 15, 16, 22, 28}",10,68,3,-16
31,"{0, 3, 7, 9, 10, 11, 14, 18, 20, 25, 31}",11,77,3,-16
25,"{0, 3, 5, 6, 10, 14, 21, 25}",8,84,4,-16
44,"{0, 35, 5, 40, 9, 42, 44, 21, 26, 27}",10,292,7,-16
46,"{0, 3, 6, 9, 10, 11, 12, 13, 15, 18, 19, 20, 26, 27, 29, 31, 33, 37, 40, 46}",20,76,2,-16
41,"{0, 33, 5, 38, 8, 41, 13, 16, 17, 21, 28, 30}",12,230,6,-16
24,"{0, 3, 4, 5, 6, 8, 13, 14, 16, 24}",10,56,3,-16
48,"{0, 1, 2, 34, 36, 4, 39, 8, 11, 48, 30, 31}",12,176,4,-16
23,"{0, 1, 7, 8, 17, 23}",6,122,6,-16
15,"{0, 5, 8, 11, 15}",5,44,4,-16
21,"{0, 1, 6, 7, 8, 11, 21}",7,89,5,-16
30,"{0, 4, 6, 8, 19, 20, 22, 24, 25, 30}",10,74,3,-16
39,"{0, 1, 6, 39, 8, 9, 13, 14, 16, 20, 28, 30}",12,179,5,-16
29,"{0, 6, 10, 11, 12, 16, 17, 20, 24, 26, 29}",11,71,3,-16
23,"{0, 1, 2, 3, 9, 11, 15, 23}",8,53,3,-16
44,"{0, 35, 4, 6, 41, 44, 13, 18, 21, 26, 27, 28, 30}",13,160,4,-16
15,"{0, 7, 8, 12, 15}",5,44,4,-16
