m,A,|A|,b,k,const
23,"{0, 2, 5, 6, 10, 12, 13, 19, 23}",9,84,4,-8
11,"{0, 2, 3, 5, 11}",5,14,2,-8
13,"{0, 2, 3, 5, 6, 13}",6,18,2,-8
42,"{0, 5, 6, 8, 9, 10, 11, 16, 17, 20, 21, 26, 27, 29, 33, 36, 37, 39, 42}",19,118,3,-8
28,"{0, 2, 3, 4, 5, 7, 9, 10, 14, 16, 18, 22, 23, 28}",14,48,2,-8
38,"{0, 3, 5, 8, 9, 11, 12, 13, 15, 19, 21, 23, 25, 26, 28, 29, 31, 34, 38}",19,68,2,-8
15,"{0, 1, 3, 6, 8, 9, 15}",7,37,3,-8
26,"{0, 1, 6, 7, 14, 15, 16, 20, 22, 26}",10,96,4,-8
32,"{0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14, 15, 18, 19, 20, 22, 23, 26, 32}",19,56,2,-8
13,"{0, 2, 3, 7, 8, 13}",6,18,2,-8
20,"{0, 2, 4, 16, 19, 20}",6,112,6,-8
15,"{0, 2, 3, 6, 9, 13, 15}",7,22,2,-8
8,"{0, 1, 2, 8}",4,16,3,-8
23,"{0, 1, 7, 8, 9, 10, 14, 15, 17, 23}",10,107,5,-8
46,"{0, 2, 6, 38, 39, 42, 44, 13, 46, 15, 16, 17, 18, 21}",14,176,4,-8
18,"{0, 1, 5, 8, 11, 12, 18}",7,64,4,-8
26,"{0, 4, 6, 8, 10, 13, 14, 15, 17, 18, 20, 21, 24, 26}",14,44,2,-8
48,"{0, 2, 6, 8, 10, 12, 13, 14, 24, 28, 29, 31, 32, 33, 35, 37, 41, 42, 46, 48}",20,136,3,-8
26,"{0, 3, 5, 7, 10, 12, 14, 16, 17, 18, 19, 20, 26}",13,70,3,-8
8,"{0, 8, 2, 5}",4,16,3,-8
49,"{0, 3, 6, 8, 11, 14, 17, 18, 19, 20, 21, 23, 24, 28, 30, 31, 32, 34, 35, 36, 37, 38, 40, 41, 43, 44, 47, 49}",28,139,3,-8
12,"{0, 2, 3, 8, 12}",5,28,3,-8
29,"{0, 6, 8, 10, 11, 12, 13, 15, 16, 21, 22, 23, 24, 25, 26, 29}",16,50,2,-8
19,"{0, 5, 6, 8, 15, 16, 19}",7,49,3,-8
8,"{0, 1, 4, 8}",4,16,3,-8
11,"{0, 2, 3, 5, 11}",5,14,2,-8
22,"{0, 5, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 22}",13,36,2,-8
49,"{0, 3, 4, 5, 6, 7, 8, 11, 15, 16, 17, 18, 19, 21, 22, 23, 25, 29, 30, 35, 36, 37, 38, 39, 43, 44, 49}",27,90,2,-8
21,"{0, 5, 6, 7, 9, 10, 12, 13, 14, 18, 21}",11,55,3,-8
24,"{0, 1, 3, 4, 5, 7, 10, 11, 12, 13, 15, 16, 24}",13,40,2,-8
17,"{0, 2, 6, 7, 9, 10, 11, 17}",8,26,2,-8
12,"{0, 2, 7, 8, 12}",5,40,4,-8
13,"{0, 1, 5, 6, 7, 13}",6,44,4,-8
40,"{0, 33, 32, 3, 4, 5, 6, 36, 8, 40, 15, 16, 20, 21, 25, 26, 27}",17,112,3,-8
14,"{0, 3, 4, 7, 8, 9, 14}",7,20,2,-8
19,"{0, 4, 9, 12, 15, 18, 19}",7,68,4,-8
35,"{32, 0, 34, 35, 5, 7, 12, 13, 19, 23, 25, 26, 28}",13,97,3,-8
9,"{0, 1, 4, 9}",4,19,3,-8
8,"{0, 1, 4, 8}",4,16,3,-8
11,"{0, 3, 5, 9, 11}",5,14,2,-8
31,"{0, 2, 3, 4, 7, 8, 9, 10, 11, 13, 15, 16, 17, 19, 20, 21, 24, 26, 31}",19,54,2,-8
8,"{0, 1, 4, 8}",4,16,3,-8
12,"{0, 1, 4, 5, 8, 12}",6,28,3,-8
36,"{32, 0, 2, 33, 36, 13, 14, 16, 17, 21, 23, 27, 28, 29}",14,208,6,-8
36,"{0, 2, 4, 36, 8, 9, 10, 11, 13, 14, 16, 19, 23, 27, 28, 30, 31}",17,100,3,-8
21,"{0, 1, 2, 3, 5, 6, 7, 11, 15, 17, 21}",11,34,2,-8
28,"{0, 1, 7, 9, 12, 16, 26, 28}",8,160,6,-8
15,"{0, 8, 9, 11, 12, 14, 15}",7,7,1,-8
9,"{0, 1, 4, 9}",4,19,3,-8
44,"{0, 5, 8, 9, 10, 12, 13, 16, 18, 19, 21, 25, 26, 27, 29, 30, 33, 38, 39, 42, 44}",21,124,3,-8
12,"{0, 1, 2, 3, 5, 12}",6,16,2,-8
47,"{0, 1, 33, 3, 36, 37, 4, 7, 39, 35, 8, 43, 15, 47, 18, 19, 28, 31}",18,133,3,-8
38,"{0, 33, 36, 6, 7, 38, 9, 11, 13, 20, 22, 23}",12,182,5,-8
32,"{0, 32, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 22, 24, 25, 27, 28, 29}",18,56,2,-8
16,"{0, 4, 5, 8, 9, 10, 14, 16}",8,8,1,-8
48,"{0, 3, 4, 9, 10, 11, 13, 15, 16, 17, 19, 20, 22, 25, 26, 28, 29, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 48}",28,88,2,-8
48,"{0, 2, 4, 6, 7, 8, 10, 12, 13, 14, 16, 18, 19, 21, 25, 28, 29, 33, 34, 35, 36, 38, 40, 42, 43, 48}",26,88,2,-8
39,"{0, 1, 2, 4, 5, 7, 8, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 28, 30, 33, 39}",23,70,2,-8
37,"{0, 33, 32, 3, 35, 37, 8, 14, 15, 16, 21, 24, 28}",13,140,4,-8
22,"{0, 4, 5, 7, 12, 14, 15, 16, 18, 22}",10,58,3,-8
23,"{0, 7, 9, 10, 13, 15, 17, 18, 19, 21, 22, 23}",12,38,2,-8
42,"{0, 33, 32, 5, 6, 7, 40, 8, 42, 14, 15, 17, 21, 23, 27, 31}",16,160,4,-8
32,"{0, 32, 3, 4, 5, 7, 11, 13, 14, 15, 19, 20, 21, 23, 26, 29}",16,56,2,-8
15,"{0, 1, 3, 6, 7, 8, 15}",7,37,3,-8
29,"{0, 2, 3, 4, 7, 8, 10, 11, 12, 14, 15, 17, 18, 19, 20, 24, 29}",17,50,2,-8
46,"{0, 35, 3, 5, 41, 42, 10, 12, 14, 15, 46, 21, 23, 25, 28, 31}",16,176,4,-8
15,"{0, 1, 4, 6, 10, 11, 15}",7,22,2,-8
16,"{0, 3, 4, 6, 9, 12, 15, 16}",8,24,2,-8
9,"{0, 1, 4, 9}",4,19,3,-8
46,"{0, 2, 35, 34, 5, 38, 40, 8, 10, 11, 12, 43, 46, 15, 16, 24, 30, 31}",18,130,3,-8
19,"{0, 4, 5, 9, 11, 12, 16, 19}",8,68,4,-8
26,"{0, 3, 8, 10, 13, 16, 18, 19, 21, 22, 26}",11,122,5,-8
40,"{0, 3, 13, 14, 15, 16, 17, 18, 19, 20, 22, 25, 29, 30, 32, 33, 35, 37, 38, 40}",20,152,4,-8
41,"{0, 3, 4, 8, 11, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 37, 39, 41}",22,115,3,-8
26,"{0, 1, 6, 7, 9, 10, 13, 14, 15, 21, 26}",11,122,5,-8
