m,A,|A|,b,k,const
46,"{0, 1, 3, 4, 5, 41, 9, 10, 12, 11, 46, 18, 21, 26, 27, 28, 29}",17,169,4,-15
38,"{0, 4, 38, 7, 9, 15, 17, 21, 22, 23, 24, 25, 27, 29, 31}",15,99,3,-15
10,"{0, 1, 2, 10}",4,25,4,-15
10,"{0, 10, 4, 7}",4,25,4,-15
23,"{0, 1, 2, 14, 15, 23}",6,146,7,-15
46,"{0, 33, 2, 3, 32, 6, 40, 46, 16, 17, 18, 22, 23}",13,169,4,-15
24,"{0, 3, 7, 8, 11, 13, 18, 24}",8,81,4,-15
49,"{0, 2, 3, 5, 40, 41, 13, 15, 16, 17, 49, 19, 27, 28, 30, 31}",16,181,4,-15
21,"{0, 4, 5, 8, 10, 17, 21}",7,69,4,-15
27,"{0, 2, 3, 8, 9, 11, 12, 16, 18, 27}",10,66,3,-15
28,"{0, 1, 5, 6, 7, 10, 12, 13, 15, 17, 28}",11,97,4,-15
10,"{0, 10, 3, 5}",4,25,4,-15
24,"{0, 2, 3, 7, 10, 11, 13, 16, 24}",9,33,2,-15
28,"{0, 2, 4, 5, 6, 8, 9, 13, 18, 20, 28}",11,41,2,-15
17,"{0, 1, 9, 10, 17}",5,121,8,-15
32,"{0, 32, 8, 13, 15, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28}",15,81,3,-15
19,"{0, 9, 10, 11, 14, 16, 19}",7,23,2,-15
29,"{0, 3, 14, 18, 19, 26, 29}",7,130,5,-15
48,"{0, 5, 6, 10, 11, 13, 15, 16, 18, 19, 20, 21, 27, 30, 32, 35, 36, 40, 42, 44, 48}",21,129,3,-15
24,"{0, 1, 2, 7, 12, 14, 18, 24}",8,57,3,-15
19,"{0, 4, 5, 8, 11, 15, 19}",7,42,3,-15
30,"{0, 3, 6, 7, 8, 11, 12, 16, 19, 20, 23, 30}",12,75,3,-15
31,"{0, 1, 3, 9, 10, 14, 20, 21, 25, 31}",10,78,3,-15
23,"{0, 2, 5, 8, 12, 18, 23}",7,77,4,-15
14,"{0, 3, 4, 6, 14}",5,27,3,-15
31,"{0, 1, 2, 3, 4, 6, 10, 12, 14, 15, 17, 22, 31}",13,47,2,-15
25,"{0, 1, 2, 3, 6, 8, 10, 13, 20, 25}",10,35,2,-15
27,"{0, 2, 4, 6, 12, 13, 17, 23, 27}",9,93,4,-15
27,"{0, 3, 6, 8, 13, 16, 19, 21, 27}",9,93,4,-15
