m,A,|A|,b,k,const
16,"{0, 1, 3, 6, 16}",5,28,3,-20
39,"{32, 1, 0, 4, 7, 39, 12, 16, 18, 26}",10,136,4,-20
28,"{0, 5, 8, 17, 21, 22, 28}",7,92,4,-20
18,"{0, 2, 7, 11, 18}",5,88,6,-20
20,"{0, 13, 15, 16, 17, 18, 20}",7,20,2,-20
29,"{0, 3, 11, 12, 21, 24, 29}",7,125,5,-20
27,"{0, 5, 8, 11, 12, 18, 20, 27}",8,61,3,-20
42,"{0, 3, 35, 4, 42, 12, 13, 22, 24, 31}",10,190,5,-20
27,"{0, 1, 2, 4, 6, 10, 14, 17, 27}",9,61,3,-20
19,"{0, 1, 5, 11, 19}",5,75,5,-20
14,"{0, 1, 6, 14}",4,50,5,-20
30,"{0, 5, 8, 9, 10, 13, 14, 15, 18, 24, 30}",11,40,2,-20
44,"{0, 35, 4, 41, 10, 11, 44, 21, 22, 23, 24, 25, 29}",13,156,4,-20
41,"{0, 1, 2, 33, 6, 7, 41, 16, 23, 25, 29}",11,103,3,-20
