m,A,|A|,b,k,const
20,"{0, 1, 6, 12, 20}",5,98,6,-22
23,"{0, 10, 11, 13, 17, 18, 23}",7,24,2,-22
21,"{0, 7, 9, 10, 13, 21}",6,20,2,-22
17,"{0, 3, 5, 7, 17}",5,29,3,-22
42,"{0, 2, 37, 9, 42, 11, 14, 15, 17, 23}",10,230,6,-22
21,"{0, 5, 8, 9, 11, 21}",6,20,2,-22
48,"{0, 33, 1, 38, 7, 11, 12, 15, 48, 18, 21, 22, 26, 31}",14,266,6,-22
46,"{0, 36, 38, 9, 10, 45, 46, 18, 21, 26}",10,300,7,-22
31,"{0, 5, 8, 13, 14, 17, 18, 20, 22, 31}",10,71,3,-22
35,"{0, 1, 35, 10, 11, 13, 15, 21, 27}",9,293,9,-22
28,"{0, 5, 8, 13, 16, 17, 23, 28}",8,90,4,-22
32,"{0, 32, 8, 10, 13, 14, 16, 20, 23, 27}",10,106,4,-22
49,"{0, 33, 32, 8, 41, 10, 11, 44, 14, 49, 21, 23, 24, 26}",14,174,4,-22
33,"{0, 33, 8, 10, 14, 16, 17, 20, 21, 27, 30}",11,77,3,-22
33,"{0, 33, 3, 7, 8, 12, 15, 17, 19, 23, 27}",11,44,2,-22
