m,A,|A|,b,k,const
43,"{0, 1, 40, 43, 16, 18, 20, 21, 25, 28, 30, 31}",12,635,15,-10
46,"{0, 33, 1, 36, 37, 38, 8, 46, 20, 21, 25, 28, 29}",13,358,8,-10
21,"{0, 1, 4, 12, 16, 21}",6,95,5,-10
24,"{0, 2, 4, 6, 7, 13, 15, 16, 18, 24}",10,62,3,-10
17,"{0, 1, 10, 12, 17}",5,126,8,-10
32,"{0, 32, 3, 4, 7, 9, 10, 12, 15, 16, 18, 19, 21, 24, 27}",15,86,3,-10
38,"{0, 2, 8, 9, 10, 11, 13, 15, 16, 18, 21, 22, 23, 25, 26, 27, 28, 31, 32, 38}",20,104,3,-10
48,"{0, 3, 7, 9, 10, 14, 17, 18, 21, 22, 24, 27, 29, 32, 34, 35, 36, 38, 40, 41, 42, 43, 48}",23,134,3,-10
34,"{0, 1, 34, 3, 4, 5, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 24, 28}",18,58,2,-10
46,"{0, 2, 3, 36, 6, 7, 39, 41, 11, 46, 19, 21, 22, 24, 28, 31}",16,174,4,-10
41,"{32, 0, 33, 35, 4, 37, 7, 9, 10, 41, 14, 16, 22, 26, 28, 29, 31}",17,113,3,-10
12,"{0, 1, 3, 4, 12}",5,14,2,-10
39,"{0, 33, 1, 5, 37, 39, 8, 10, 11, 15, 16, 19, 27}",13,146,4,-10
46,"{0, 1, 3, 4, 6, 9, 11, 12, 14, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 33, 37, 38, 46}",26,82,2,-10
17,"{0, 1, 5, 9, 10, 17}",6,58,4,-10
19,"{0, 1, 3, 8, 11, 13, 19}",7,66,4,-10
15,"{0, 2, 5, 7, 9, 15}",6,50,4,-10
48,"{0, 1, 33, 35, 5, 37, 43, 12, 11, 15, 16, 48, 22, 24, 27, 31}",16,230,5,-10
26,"{0, 1, 7, 8, 9, 10, 11, 16, 17, 19, 26}",11,120,5,-10
39,"{0, 33, 3, 38, 39, 11, 14, 20, 25, 26, 29}",11,341,9,-10
38,"{0, 2, 3, 4, 38, 11, 14, 18, 20, 25, 26, 30, 31}",13,104,3,-10
33,"{0, 5, 6, 9, 10, 11, 12, 14, 15, 16, 18, 19, 21, 22, 25, 27, 28, 29, 33}",19,56,2,-10
44,"{0, 4, 5, 7, 12, 13, 15, 17, 18, 20, 21, 23, 27, 28, 29, 35, 36, 37, 38, 44}",20,122,3,-10
17,"{0, 1, 3, 6, 7, 8, 17}",7,41,3,-10
37,"{32, 0, 34, 35, 33, 5, 37, 9, 10, 12, 14, 15, 22, 23, 28, 30, 31}",17,64,2,-10
47,"{0, 32, 2, 35, 4, 38, 39, 8, 9, 11, 44, 12, 47, 17, 20, 23, 28}",17,131,3,-10
12,"{0, 2, 5, 6, 12}",5,14,2,-10
18,"{0, 3, 5, 6, 10, 11, 14, 18}",8,8,1,-10
49,"{0, 33, 34, 3, 5, 8, 43, 13, 47, 49, 20, 27}",12,186,4,-10
47,"{0, 2, 36, 4, 41, 9, 11, 43, 14, 47, 20, 23}",12,178,4,-10
12,"{0, 3, 4, 5, 12}",5,14,2,-10
46,"{0, 4, 5, 38, 7, 43, 11, 46, 16, 24}",10,358,8,-10
20,"{0, 3, 9, 11, 12, 16, 17, 20}",8,50,3,-10
23,"{0, 3, 7, 12, 14, 16, 20, 23}",8,82,4,-10
45,"{0, 7, 9, 10, 12, 13, 14, 17, 18, 21, 23, 24, 26, 27, 28, 31, 32, 35, 38, 40, 41, 42, 45}",23,80,2,-10
