m,A,|A|,b,k,const
49,"{0, 32, 34, 3, 4, 6, 7, 38, 9, 43, 12, 13, 15, 49, 19, 26}",16,178,4,-18
49,"{32, 0, 2, 3, 5, 39, 40, 15, 16, 49, 20, 21, 27, 30, 31}",15,178,4,-18
49,"{0, 33, 35, 36, 4, 3, 39, 16, 49, 22, 25, 27, 31}",13,276,6,-18
24,"{0, 3, 10, 16, 18, 22, 24}",7,102,5,-18
18,"{0, 4, 6, 11, 13, 18}",6,36,3,-18
16,"{0, 2, 5, 6, 16}",5,30,3,-18
40,"{32, 0, 35, 6, 7, 8, 40, 13, 15, 18, 20, 22, 29}",13,102,3,-18
25,"{0, 4, 6, 10, 14, 15, 16, 20, 25}",9,57,3,-18
48,"{0, 33, 1, 5, 38, 39, 11, 48, 17, 18, 23, 30}",12,222,5,-18
18,"{0, 4, 11, 13, 18}",5,72,5,-18
34,"{0, 34, 7, 12, 13, 15, 17, 20, 22, 24, 25, 29, 30}",13,84,3,-18
36,"{0, 2, 4, 36, 6, 13, 16, 20, 22, 23, 26, 30}",12,90,3,-18
23,"{0, 7, 8, 10, 12, 15, 16, 23}",8,51,3,-18
28,"{0, 4, 7, 8, 12, 14, 15, 24, 26, 28}",10,38,2,-18
22,"{0, 5, 6, 10, 11, 13, 16, 22}",8,26,2,-18
39,"{0, 33, 5, 39, 8, 10, 11, 12, 13, 25, 27, 28, 30}",13,99,3,-18
44,"{0, 33, 32, 1, 11, 44, 16, 19, 28, 30}",10,422,10,-18
