m,A,|A|,b,k,const
44,"{32, 0, 34, 2, 35, 37, 9, 41, 11, 44, 16, 18, 19, 21, 26}",15,299,7,-9
9,"{0, 9, 3, 4}",4,18,3,-9
40,"{0, 1, 2, 3, 4, 5, 7, 8, 12, 13, 16, 18, 20, 21, 22, 23, 24, 25, 30, 32, 35, 40}",22,71,2,-9
25,"{0, 3, 10, 12, 15, 20, 22, 23, 25}",9,91,4,-9
6,"{0, 1, 6}",3,15,4,-9
38,"{32, 0, 2, 3, 6, 7, 8, 9, 38, 11, 12, 13, 18, 19, 22, 23, 27, 30}",18,105,3,-9
25,"{0, 6, 7, 9, 15, 17, 18, 20, 23, 25}",10,66,3,-9
48,"{0, 33, 1, 35, 37, 40, 11, 44, 13, 48, 20, 24, 27, 29, 31}",15,471,10,-9
24,"{0, 2, 6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 24}",14,39,2,-9
26,"{0, 2, 3, 7, 8, 9, 10, 11, 13, 17, 20, 23, 26}",13,43,2,-9
6,"{0, 1, 6}",3,15,4,-9
38,"{0, 1, 36, 5, 38, 7, 8, 13, 16, 17, 18, 22, 24, 30}",14,143,4,-9
6,"{0, 1, 6}",3,15,4,-9
49,"{0, 2, 3, 4, 6, 8, 11, 12, 13, 17, 18, 20, 21, 23, 28, 30, 31, 34, 36, 37, 39, 40, 43, 46, 49}",25,89,2,-9
38,"{0, 1, 34, 6, 38, 24, 25, 28}",8,295,8,-9
16,"{0, 6, 7, 8, 10, 12, 13, 16}",8,23,2,-9
6,"{0, 1, 6}",3,15,4,-9
38,"{0, 34, 37, 6, 7, 38, 13, 15, 16, 18, 26, 28}",12,143,4,-9
37,"{0, 36, 5, 37, 8, 12, 17, 24, 30, 31}",10,176,5,-9
6,"{0, 1, 6}",3,15,4,-9
19,"{0, 6, 8, 10, 11, 14, 15, 16, 19}",9,29,2,-9
40,"{0, 35, 36, 5, 37, 6, 40, 14, 15, 16, 18, 24, 25, 28, 29}",15,111,3,-9
6,"{0, 1, 6}",3,15,4,-9
33,"{0, 33, 3, 5, 8, 11, 12, 13, 14, 15, 16, 17, 25, 28, 29}",15,90,3,-9
42,"{0, 6, 7, 9, 10, 15, 17, 18, 21, 22, 24, 28, 32, 33, 35, 36, 38, 39, 42}",19,75,2,-9
46,"{0, 33, 1, 35, 3, 9, 10, 42, 11, 14, 46, 16, 17, 22, 23, 24, 31}",17,221,5,-9
43,"{32, 0, 4, 5, 6, 39, 7, 36, 43, 21, 30, 31}",12,163,4,-9
29,"{0, 1, 2, 3, 5, 9, 13, 14, 17, 19, 20, 21, 29}",13,49,2,-9
9,"{0, 9, 2, 3}",4,18,3,-9
30,"{0, 2, 4, 5, 6, 9, 13, 16, 20, 22, 26, 28, 30}",13,81,3,-9
42,"{32, 0, 34, 2, 4, 5, 35, 10, 11, 42, 14, 16, 20, 21, 23, 24, 29, 30}",18,117,3,-9
