m,A,|A|,b,k,const
28,"{0, 6, 7, 8, 9, 11, 13, 15, 17, 19, 24, 25, 27, 28}",14,79,3,-5
14,"{0, 1, 3, 4, 6, 7, 10, 14}",8,23,2,-5
26,"{0, 2, 10, 11, 12, 14, 18, 20, 22, 23, 24, 26}",12,125,5,-5
11,"{0, 2, 4, 5, 9, 11}",6,17,2,-5
7,"{0, 3, 4, 7}",4,9,2,-5
13,"{0, 5, 6, 7, 8, 9, 10, 13}",8,8,1,-5
18,"{0, 1, 2, 3, 4, 7, 8, 10, 11, 13, 18}",11,31,2,-5
14,"{0, 3, 5, 6, 9, 10, 11, 14}",8,23,2,-5
25,"{0, 1, 2, 5, 9, 12, 14, 16, 17, 18, 19, 25}",12,70,3,-5
16,"{0, 4, 6, 7, 8, 10, 13, 14, 16}",9,43,3,-5
38,"{0, 4, 6, 8, 9, 11, 13, 14, 16, 17, 19, 20, 21, 22, 23, 28, 29, 30, 33, 35, 36, 38}",22,71,2,-5
5,"{0, 1, 5}",3,10,3,-5
10,"{0, 1, 4, 6, 10}",5,25,3,-5
46,"{0, 1, 2, 5, 6, 7, 12, 13, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 46}",27,133,3,-5
41,"{0, 1, 2, 34, 4, 5, 38, 41, 17, 21, 23, 25, 26}",13,159,4,-5
7,"{0, 1, 4, 7}",4,9,2,-5
38,"{0, 1, 34, 5, 6, 7, 38, 9, 10, 11, 17, 22, 23, 25, 27, 28, 31}",17,147,4,-5
47,"{0, 1, 2, 3, 8, 9, 10, 11, 14, 15, 16, 20, 22, 23, 25, 26, 28, 30, 31, 34, 35, 38, 42, 43, 47}",25,136,3,-5
15,"{0, 4, 6, 7, 8, 9, 10, 13, 15}",9,25,2,-5
7,"{0, 1, 2, 7}",4,9,2,-5
33,"{0, 1, 33, 3, 4, 6, 11, 13, 14, 16, 19, 20, 21, 23, 25, 31}",16,94,3,-5
38,"{0, 2, 4, 10, 12, 13, 14, 17, 18, 22, 23, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38}",22,71,2,-5
25,"{0, 2, 6, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25}",16,45,2,-5
11,"{0, 2, 4, 7, 8, 11}",6,6,1,-5
7,"{0, 1, 2, 7}",4,9,2,-5
5,"{0, 1, 5}",3,10,3,-5
45,"{0, 2, 7, 8, 9, 12, 13, 14, 15, 18, 20, 21, 22, 24, 25, 26, 27, 29, 31, 36, 38, 39, 40, 41, 45}",25,130,3,-5
29,"{0, 2, 6, 7, 8, 11, 12, 16, 19, 20, 21, 22, 23, 24, 26, 29}",16,53,2,-5
40,"{0, 5, 6, 8, 10, 11, 13, 15, 16, 17, 19, 20, 22, 29, 31, 33, 37, 39, 40}",19,115,3,-5
13,"{0, 3, 8, 9, 12, 13}",6,34,3,-5
7,"{0, 3, 5, 7}",4,9,2,-5
37,"{0, 1, 2, 3, 4, 5, 6, 8, 11, 13, 14, 15, 17, 18, 19, 23, 24, 25, 27, 29, 31, 35, 37}",23,106,3,-5
16,"{0, 1, 4, 5, 8, 9, 11, 16}",8,43,3,-5
17,"{0, 1, 3, 5, 6, 15, 17}",7,63,4,-5
21,"{0, 1, 3, 4, 7, 8, 10, 11, 12, 15, 18, 21}",12,37,2,-5
41,"{0, 3, 5, 7, 13, 14, 15, 16, 18, 20, 21, 22, 26, 30, 32, 34, 37, 38, 41}",19,118,3,-5
24,"{0, 3, 6, 7, 9, 10, 11, 12, 13, 15, 17, 18, 21, 22, 24}",15,43,2,-5
12,"{0, 1, 2, 4, 6, 7, 12}",7,7,1,-5
46,"{0, 4, 5, 7, 9, 15, 16, 17, 19, 25, 27, 32, 33, 36, 38, 40, 41, 42, 44, 46}",20,87,2,-5
23,"{0, 1, 4, 6, 7, 8, 14, 16, 19, 23}",10,64,3,-5
42,"{0, 1, 2, 4, 5, 7, 8, 9, 10, 12, 15, 18, 20, 22, 25, 29, 30, 31, 32, 34, 35, 38, 42}",23,79,2,-5
43,"{0, 1, 2, 3, 5, 10, 12, 15, 19, 20, 21, 22, 25, 27, 34, 35, 37, 39, 43}",19,124,3,-5
43,"{0, 1, 2, 4, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 26, 28, 29, 30, 32, 35, 40, 43}",27,167,4,-5
23,"{0, 1, 10, 12, 17, 19, 23}",7,202,9,-5
31,"{0, 4, 6, 7, 8, 10, 11, 15, 18, 24, 25, 26, 28, 29, 31}",15,88,3,-5
13,"{0, 3, 6, 7, 8, 9, 10, 13}",8,8,1,-5
30,"{0, 2, 3, 5, 8, 9, 10, 12, 13, 17, 19, 20, 21, 22, 23, 25, 30}",17,55,2,-5
22,"{0, 1, 3, 9, 11, 12, 15, 16, 17, 22}",10,83,4,-5
