m,A,|A|,b,k,const
37,"{0, 33, 35, 5, 6, 37, 9, 17, 22, 24, 26}",11,174,5,-11
17,"{0, 5, 6, 7, 9, 10, 13, 17}",8,23,2,-11
46,"{0, 33, 2, 4, 39, 41, 9, 13, 14, 46, 27, 30}",12,173,4,-11
28,"{0, 3, 10, 17, 18, 22, 23, 25, 28}",9,129,5,-11
38,"{0, 33, 2, 3, 1, 6, 7, 8, 9, 38, 11, 13, 14, 17, 18, 19, 26, 31}",18,103,3,-11
35,"{0, 2, 3, 4, 35, 8, 10, 11, 12, 13, 14, 18, 19, 20, 21, 24, 25, 30}",18,94,3,-11
9,"{0, 1, 2, 9}",4,16,3,-11
36,"{0, 2, 4, 5, 36, 8, 9, 11, 25, 29, 30}",11,133,4,-11
35,"{0, 2, 35, 4, 6, 11, 12, 18, 19, 20, 23, 25, 27, 28, 31}",15,59,2,-11
42,"{0, 33, 2, 35, 4, 37, 9, 42, 11, 14, 16, 17, 19, 22, 23, 24, 28, 30}",18,115,3,-11
39,"{0, 1, 3, 6, 7, 9, 10, 13, 14, 15, 17, 19, 20, 21, 24, 26, 29, 31, 39}",19,106,3,-11
14,"{0, 2, 4, 6, 7, 14}",6,17,2,-11
10,"{0, 1, 10, 4}",4,19,3,-11
40,"{0, 32, 36, 5, 39, 7, 40, 12, 22}",9,229,6,-11
36,"{0, 1, 3, 36, 7, 8, 9, 11, 12, 14, 17, 18, 19, 22, 23, 27, 28}",17,97,3,-11
21,"{0, 5, 12, 13, 15, 18, 20, 21}",8,52,3,-11
44,"{32, 1, 0, 37, 39, 44, 16, 19, 24, 29}",10,649,15,-11
17,"{0, 2, 5, 7, 8, 12, 17}",7,40,3,-11
27,"{0, 2, 4, 5, 7, 8, 11, 14, 16, 17, 20, 27}",12,70,3,-11
37,"{0, 2, 5, 37, 7, 9, 10, 11, 13, 16, 17, 20, 21, 23, 24, 29, 31}",17,137,4,-11
22,"{0, 3, 4, 16, 18, 20, 22}",7,99,5,-11
19,"{0, 1, 3, 6, 7, 10, 12, 19}",8,27,2,-11
49,"{0, 1, 3, 4, 8, 11, 18, 20, 21, 22, 24, 25, 27, 31, 32, 33, 34, 37, 39, 40, 49}",21,136,3,-11
18,"{0, 2, 4, 7, 11, 12, 18}",7,43,3,-11
43,"{0, 6, 7, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 26, 27, 28, 29, 30, 31, 33, 36, 37, 40, 43}",25,75,2,-11
23,"{0, 2, 4, 5, 11, 14, 19, 23}",8,58,3,-11
41,"{0, 33, 35, 4, 37, 6, 39, 41, 11, 13, 16, 17, 24, 27, 28, 29}",16,112,3,-11
17,"{0, 1, 6, 13, 17}",5,74,5,-11
47,"{0, 2, 6, 7, 9, 10, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 28, 29, 30, 35, 37, 39, 40, 47}",24,130,3,-11
21,"{0, 1, 2, 5, 6, 7, 9, 10, 11, 21}",10,10,1,-11
45,"{0, 4, 5, 9, 10, 11, 13, 21, 22, 23, 26, 28, 29, 30, 32, 34, 37, 38, 41, 45}",20,124,3,-11
38,"{0, 2, 8, 10, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 26, 27, 28, 29, 30, 33, 38}",21,103,3,-11
40,"{32, 0, 33, 3, 5, 7, 40, 10, 15, 18, 19, 22, 26, 30, 31}",15,109,3,-11
35,"{0, 4, 5, 6, 7, 9, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 26, 29, 35}",20,59,2,-11
42,"{0, 1, 34, 33, 4, 6, 7, 9, 42, 11, 15, 22, 24, 27, 29}",15,115,3,-11
34,"{0, 34, 6, 7, 10, 11, 12, 13, 16, 18, 21, 22, 24, 25, 26, 27, 31}",17,57,2,-11
49,"{0, 3, 4, 7, 8, 13, 15, 16, 17, 18, 19, 21, 25, 28, 32, 35, 37, 38, 39, 41, 43, 49}",22,136,3,-11
17,"{0, 2, 4, 5, 7, 11, 17}",7,23,2,-11
32,"{0, 32, 2, 3, 4, 6, 7, 11, 12, 13, 15, 17, 18, 19, 20, 24}",16,53,2,-11
49,"{0, 1, 2, 5, 7, 9, 11, 13, 17, 18, 19, 20, 23, 25, 27, 28, 29, 30, 33, 34, 38, 39, 41, 49}",24,87,2,-11
21,"{0, 6, 7, 10, 12, 14, 17, 18, 21}",9,31,2,-11
34,"{0, 1, 34, 3, 10, 13, 21, 22, 31}",9,159,5,-11
14,"{0, 3, 6, 9, 10, 14}",6,17,2,-11
46,"{0, 1, 3, 4, 6, 10, 11, 12, 13, 14, 16, 17, 18, 22, 25, 28, 31, 33, 39, 40, 46}",21,81,2,-11
30,"{0, 1, 4, 6, 7, 10, 11, 16, 20, 22, 24, 30}",12,79,3,-11
33,"{0, 33, 4, 5, 6, 7, 9, 12, 14, 15, 16, 20, 21, 25, 26}",15,88,3,-11
48,"{0, 4, 6, 7, 10, 11, 13, 15, 17, 18, 20, 21, 22, 24, 26, 27, 31, 32, 33, 37, 39, 42, 43, 48}",24,133,3,-11
19,"{0, 1, 2, 6, 7, 8, 11, 19}",8,27,2,-11
16,"{0, 6, 7, 13, 14, 16}",6,53,4,-11
40,"{0, 34, 2, 4, 7, 8, 40, 13, 16, 21, 22, 26, 27, 28, 30, 31}",16,109,3,-11
19,"{0, 2, 4, 7, 9, 11, 13, 19}",8,46,3,-11
32,"{0, 1, 2, 3, 32, 10, 14, 18, 19, 21, 22, 23}",12,85,3,-11
20,"{0, 2, 7, 9, 12, 16, 20}",7,89,5,-11
