m,A,|A|,b,k,const
34,"{0, 1, 3, 5, 7, 8, 9, 10, 12, 15, 19, 23, 25, 26, 27, 28, 29, 32, 34}",19,67,2,-1
27,"{0, 2, 3, 6, 7, 8, 10, 11, 12, 14, 17, 19, 21, 24, 25, 27}",16,80,3,-1
12,"{0, 2, 3, 4, 5, 6, 9, 10, 12}",9,23,2,-1
6,"{0, 1, 2, 3, 6}",5,5,1,-1
25,"{0, 3, 4, 5, 8, 12, 13, 14, 17, 18, 20, 21, 23, 24, 25}",15,49,2,-1
13,"{0, 1, 2, 8, 9, 10, 13}",7,51,4,-1
6,"{0, 1, 2, 4, 6}",5,5,1,-1
43,"{0, 1, 2, 3, 4, 6, 9, 13, 14, 16, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32, 34, 37, 38, 39, 40, 43}",28,85,2,-1
47,"{0, 2, 4, 5, 6, 9, 10, 12, 14, 16, 18, 20, 21, 25, 26, 31, 33, 37, 38, 41, 43, 46, 47}",23,140,3,-1
5,"{0, 1, 2, 5}",4,4,1,-1
9,"{0, 2, 3, 5, 6, 7, 9}",7,17,2,-1
39,"{0, 1, 34, 33, 4, 35, 6, 2, 36, 9, 39, 11, 12, 13, 15, 30, 31}",17,116,3,-1
40,"{0, 1, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 17, 20, 21, 22, 23, 26, 27, 29, 30, 32, 35, 36, 37, 40}",26,79,2,-1
44,"{0, 1, 2, 3, 7, 8, 11, 13, 19, 20, 21, 22, 23, 25, 27, 29, 30, 31, 33, 35, 36, 39, 40, 41, 44}",25,131,3,-1
28,"{0, 1, 6, 7, 8, 10, 13, 14, 16, 18, 19, 20, 23, 24, 25, 28}",16,139,5,-1
25,"{0, 1, 2, 4, 8, 11, 12, 13, 14, 15, 18, 19, 20, 23, 25}",15,74,3,-1
7,"{0, 1, 2, 3, 4, 7}",6,6,1,-1
5,"{0, 1, 2, 5}",4,4,1,-1
21,"{0, 1, 9, 11, 16, 17, 19, 21}",8,167,8,-1
37,"{0, 3, 4, 5, 7, 12, 13, 14, 15, 16, 18, 19, 20, 22, 24, 27, 29, 30, 32, 33, 34, 35, 36, 37}",24,73,2,-1
5,"{0, 2, 3, 5}",4,4,1,-1
5,"{0, 1, 3, 5}",4,4,1,-1
29,"{0, 3, 4, 5, 9, 10, 13, 14, 18, 19, 20, 22, 23, 24, 27, 28, 29}",17,86,3,-1
12,"{0, 2, 5, 9, 10, 11, 12}",7,47,4,-1
5,"{0, 2, 3, 5}",4,4,1,-1
10,"{0, 2, 4, 5, 7, 9, 10}",7,19,2,-1
22,"{0, 2, 4, 5, 7, 8, 9, 10, 12, 16, 17, 18, 19, 21, 22}",15,43,2,-1
6,"{0, 1, 2, 4, 6}",5,5,1,-1
12,"{0, 2, 4, 5, 7, 9, 10, 11, 12}",9,23,2,-1
6,"{0, 2, 3, 4, 6}",5,5,1,-1
5,"{0, 1, 2, 5}",4,4,1,-1
21,"{0, 1, 2, 3, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 21}",16,41,2,-1
28,"{0, 3, 4, 5, 6, 7, 8, 10, 11, 13, 20, 23, 26, 27, 28}",15,83,3,-1
14,"{0, 1, 4, 9, 10, 11, 14}",7,55,4,-1
26,"{0, 1, 13, 17, 21, 24, 26}",7,311,12,-1
