m,A,|A|,b,k,const
9,"{0, 3, 4, 6, 9}",5,12,2,-6
9,"{0, 1, 2, 3, 9}",5,12,2,-6
35,"{0, 2, 35, 7, 8, 10, 14, 15, 17, 21, 27, 29, 30, 31}",14,134,4,-6
41,"{0, 1, 3, 5, 10, 11, 13, 14, 15, 16, 17, 18, 21, 25, 29, 30, 31, 33, 35, 37, 41}",21,117,3,-6
27,"{0, 1, 2, 3, 5, 6, 8, 9, 10, 13, 14, 19, 20, 23, 27}",15,48,2,-6
20,"{0, 4, 5, 7, 8, 10, 13, 14, 15, 16, 20}",11,34,2,-6
13,"{0, 1, 3, 4, 6, 8, 13}",7,7,1,-6
30,"{0, 4, 8, 9, 10, 11, 15, 17, 22, 26, 27, 28, 30}",13,84,3,-6
11,"{0, 2, 3, 4, 5, 11}",6,16,2,-6
9,"{0, 1, 2, 3, 9}",5,12,2,-6
31,"{0, 2, 8, 11, 13, 14, 15, 18, 19, 20, 21, 23, 25, 26, 29, 31}",16,87,3,-6
41,"{0, 2, 6, 7, 8, 9, 10, 12, 13, 14, 16, 19, 22, 23, 24, 25, 32, 33, 34, 35, 36, 41}",22,117,3,-6
18,"{0, 2, 3, 4, 5, 6, 7, 8, 12, 14, 18}",11,30,2,-6
35,"{0, 2, 6, 7, 8, 10, 11, 12, 13, 14, 17, 19, 20, 22, 27, 29, 30, 31, 35}",19,64,2,-6
9,"{0, 3, 4, 6, 9}",5,12,2,-6
43,"{0, 4, 9, 11, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 30, 32, 34, 35, 36, 38, 39, 41, 42, 43}",26,166,4,-6
24,"{0, 1, 2, 5, 6, 10, 12, 13, 16, 19, 24}",11,66,3,-6
34,"{0, 1, 34, 8, 12, 14, 16, 18, 19, 20, 23, 24, 28, 30}",14,232,7,-6
18,"{0, 1, 2, 4, 7, 8, 12, 14, 18}",9,48,3,-6
30,"{0, 1, 2, 5, 9, 10, 13, 14, 15, 22, 27, 30}",12,114,4,-6
48,"{0, 3, 10, 11, 13, 17, 19, 20, 21, 22, 24, 25, 27, 29, 31, 32, 33, 34, 35, 38, 41, 42, 44, 45, 46, 48}",26,282,6,-6
36,"{0, 33, 2, 3, 1, 36, 6, 8, 12, 14, 15, 17, 18, 20, 22, 28}",16,174,5,-6
16,"{0, 1, 2, 3, 8, 9, 12, 16}",8,42,3,-6
46,"{0, 2, 3, 10, 12, 13, 14, 15, 16, 17, 18, 20, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 37, 40, 41, 46}",27,178,4,-6
22,"{0, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 17, 22}",13,38,2,-6
15,"{0, 2, 3, 5, 6, 7, 10, 11, 15}",9,9,1,-6
48,"{0, 1, 2, 3, 4, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 41, 42, 48}",32,90,2,-6
13,"{0, 1, 2, 3, 4, 8, 13}",7,7,1,-6
9,"{0, 6, 7, 8, 9}",5,12,2,-6
17,"{0, 3, 4, 6, 11, 12, 13, 17}",8,28,2,-6
26,"{0, 1, 2, 4, 6, 7, 10, 15, 20, 22, 26}",11,72,3,-6
24,"{0, 2, 3, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 24}",15,42,2,-6
13,"{0, 2, 3, 4, 8, 9, 13}",7,20,2,-6
43,"{0, 34, 35, 4, 36, 7, 8, 41, 42, 10, 43, 15, 20, 23, 27, 28, 29, 30}",18,123,3,-6
26,"{0, 1, 3, 5, 6, 9, 11, 15, 17, 18, 20, 23, 26}",13,72,3,-6
18,"{0, 4, 7, 8, 10, 13, 14, 15, 16, 18}",10,30,2,-6
8,"{0, 1, 3, 8}",4,10,2,-6
23,"{0, 2, 3, 5, 8, 9, 10, 11, 15, 18, 19, 23}",12,40,2,-6
9,"{0, 1, 2, 3, 9}",5,12,2,-6
10,"{0, 5, 6, 9, 10}",5,24,3,-6
22,"{0, 3, 5, 9, 12, 14, 15, 16, 18, 19, 22}",11,60,3,-6
33,"{0, 1, 33, 6, 8, 9, 10, 12, 14, 15, 17, 18, 20, 22, 23, 25, 27}",17,159,5,-6
38,"{0, 1, 2, 4, 5, 6, 7, 11, 15, 16, 20, 21, 24, 25, 26, 27, 29, 30, 32, 38}",20,70,2,-6
27,"{0, 4, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 26, 27}",15,102,4,-6
49,"{0, 1, 2, 6, 10, 16, 19, 20, 22, 23, 24, 26, 32, 33, 35, 38, 41, 43, 45, 49}",20,190,4,-6
8,"{0, 1, 3, 8}",4,10,2,-6
17,"{0, 4, 5, 8, 9, 10, 11, 12, 15, 17}",10,28,2,-6
47,"{0, 3, 10, 11, 14, 15, 16, 21, 23, 29, 30, 32, 33, 37, 40, 41, 42, 43, 44, 45, 47}",21,182,4,-6
30,"{0, 1, 2, 3, 5, 6, 8, 10, 12, 14, 15, 17, 19, 21, 27, 30}",16,84,3,-6
9,"{0, 2, 3, 6, 9}",5,12,2,-6
29,"{0, 2, 3, 4, 5, 9, 10, 15, 21, 24, 25, 29}",12,81,3,-6
34,"{0, 1, 34, 3, 4, 5, 6, 9, 11, 12, 14, 16, 17, 24, 25, 28, 29}",17,96,3,-6
48,"{0, 1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 15, 16, 18, 21, 24, 26, 28, 29, 31, 32, 33, 37, 38, 39, 42, 43, 48}",28,90,2,-6
44,"{32, 1, 0, 33, 4, 2, 38, 7, 34, 40, 10, 11, 44, 14, 16, 21, 29, 30}",18,126,3,-6
24,"{0, 4, 8, 9, 11, 12, 14, 17, 19, 20, 21, 22, 23, 24}",14,42,2,-6
15,"{0, 5, 7, 9, 10, 12, 13, 14, 15}",9,9,1,-6
22,"{0, 2, 3, 4, 8, 10, 12, 17, 18, 22}",10,60,3,-6
28,"{0, 3, 5, 13, 14, 21, 26, 28}",8,162,6,-6
16,"{0, 3, 6, 7, 9, 11, 12, 14, 16}",9,26,2,-6
30,"{0, 4, 7, 8, 10, 13, 15, 18, 19, 23, 24, 27, 28, 30}",14,84,3,-6
15,"{0, 3, 4, 7, 9, 10, 11, 15}",8,24,2,-6
16,"{0, 2, 5, 6, 8, 13, 16}",7,74,5,-6
