m,A,|A|,b,k,const
11,"{0, 11, 5, 6}",4,25,4,-19
46,"{0, 33, 1, 39, 13, 14, 46, 18, 19, 30}",10,533,12,-19
24,"{0, 2, 4, 6, 9, 10, 14, 19, 24}",9,29,2,-19
44,"{0, 33, 4, 42, 11, 44, 16, 20, 22, 23, 27}",11,421,10,-19
19,"{0, 2, 3, 4, 9, 19}",6,19,2,-19
23,"{0, 3, 5, 8, 14, 18, 23}",7,73,4,-19
21,"{0, 7, 8, 11, 13, 14, 21}",7,23,2,-19
34,"{0, 34, 3, 4, 6, 8, 12, 14, 21, 22, 23, 24}",12,83,3,-19
33,"{0, 33, 4, 9, 14, 16, 17, 18, 19, 27}",10,80,3,-19
28,"{0, 5, 6, 8, 9, 16, 20, 26, 28}",9,37,2,-19
25,"{0, 1, 2, 5, 7, 8, 17, 25}",8,56,3,-19
47,"{0, 37, 7, 40, 41, 43, 44, 13, 47, 17, 18, 25, 30, 31}",14,169,4,-19
36,"{0, 4, 36, 11, 14, 23, 29, 31}",8,197,6,-19
11,"{0, 1, 2, 11}",4,25,4,-19
20,"{0, 5, 10, 15, 17, 18, 20}",7,21,2,-19
29,"{0, 6, 10, 11, 15, 17, 19, 24, 25, 29}",10,39,2,-19
11,"{8, 0, 11, 5}",4,25,4,-19
31,"{0, 3, 6, 17, 20, 26, 27, 31}",8,105,4,-19
