m,A,|A|,b,k,const
25,"{0, 4, 6, 10, 13, 14, 25}",7,25,2,-25
26,"{0, 8, 10, 14, 15, 18, 20, 26}",8,27,2,-25
30,"{0, 3, 6, 7, 11, 15, 25, 30}",8,65,3,-25
39,"{0, 35, 39, 9, 11, 13, 15, 16, 22, 27, 30}",11,92,3,-25
42,"{0, 35, 4, 5, 8, 10, 42, 17, 24, 29}",10,185,5,-25
31,"{0, 7, 8, 10, 11, 17, 19, 22, 31}",9,68,3,-25
27,"{0, 7, 9, 12, 19, 22, 27}",7,83,4,-25
19,"{0, 6, 9, 11, 19}",5,32,3,-25
14,"{0, 1, 3, 14}",4,31,4,-25
18,"{0, 5, 6, 7, 18}",5,29,3,-25
35,"{0, 2, 35, 4, 10, 14, 18, 21, 23, 27}",10,115,4,-25
34,"{0, 34, 11, 14, 16, 18, 20, 21, 22, 23, 27, 28}",12,43,2,-25
34,"{0, 34, 3, 4, 5, 8, 9, 11, 13, 14, 15, 19}",12,43,2,-25
32,"{0, 32, 4, 11, 14, 15, 18, 19, 24}",9,135,5,-25
