m,A,|A|,b,k,const
10,"{0, 1, 2, 6, 10}",5,13,2,-7
15,"{0, 4, 6, 7, 8, 9, 10, 15}",8,8,1,-7
34,"{0, 2, 34, 8, 9, 10, 13, 15, 18, 19, 21, 23, 24, 25, 26, 27, 28, 30}",18,95,3,-7
39,"{0, 2, 35, 34, 4, 6, 7, 39, 9, 13, 14, 17, 18, 23, 25, 28, 29, 30}",18,110,3,-7
10,"{0, 2, 4, 5, 10}",5,13,2,-7
17,"{0, 4, 10, 12, 13, 15, 16, 17}",8,44,3,-7
34,"{32, 0, 2, 34, 9, 10, 15, 25, 28}",9,129,4,-7
33,"{0, 33, 6, 7, 8, 9, 10, 12, 14, 15, 24, 25, 26, 28, 31}",15,92,3,-7
42,"{0, 1, 2, 4, 5, 7, 8, 12, 13, 14, 15, 17, 18, 19, 20, 22, 24, 28, 29, 31, 32, 34, 35, 42}",24,77,2,-7
33,"{0, 33, 2, 5, 7, 8, 13, 15, 16, 20, 25, 27, 30}",13,92,3,-7
48,"{0, 1, 5, 6, 12, 15, 17, 21, 22, 23, 24, 28, 30, 32, 33, 39, 40, 43, 48}",19,185,4,-7
10,"{0, 5, 6, 8, 10}",5,13,2,-7
13,"{0, 3, 4, 5, 6, 8, 13}",7,19,2,-7
14,"{0, 3, 4, 6, 8, 11, 14}",7,35,3,-7
36,"{0, 1, 36, 8, 9, 15, 16, 17, 18, 19, 20, 21, 22, 25, 27, 28, 30}",17,245,7,-7
21,"{0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 15, 21}",12,35,2,-7
42,"{0, 33, 34, 5, 7, 40, 39, 9, 42, 12, 13, 15, 21, 23, 25, 28}",16,119,3,-7
47,"{0, 2, 3, 4, 7, 8, 10, 12, 14, 15, 16, 19, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 47}",29,87,2,-7
29,"{0, 3, 5, 9, 13, 14, 15, 17, 18, 19, 20, 25, 27, 29}",14,80,3,-7
38,"{0, 2, 3, 4, 5, 6, 7, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 31, 32, 38}",26,69,2,-7
10,"{0, 1, 2, 6, 10}",5,13,2,-7
14,"{0, 1, 4, 5, 8, 10, 14}",7,21,2,-7
44,"{0, 2, 5, 7, 8, 9, 42, 11, 44, 13, 14, 17, 18, 19, 23, 25, 28, 31}",18,301,7,-7
40,"{0, 33, 34, 2, 36, 4, 6, 7, 40, 9, 10, 19, 23, 25, 26}",15,113,3,-7
10,"{0, 1, 3, 5, 10}",5,13,2,-7
27,"{0, 2, 4, 5, 6, 7, 8, 12, 14, 15, 18, 20, 21, 24, 27}",15,74,3,-7
25,"{0, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 21, 25}",15,43,2,-7
23,"{0, 1, 4, 5, 8, 11, 12, 13, 14, 18, 23}",11,62,3,-7
10,"{0, 1, 10, 6}",4,43,5,-7
47,"{0, 33, 2, 3, 4, 37, 9, 10, 11, 44, 13, 47, 18, 19, 20, 22, 24, 30}",18,322,7,-7
32,"{0, 32, 4, 5, 6, 8, 12, 15, 19, 20, 27, 29}",12,121,4,-7
10,"{0, 9, 10, 4}",4,43,5,-7
12,"{0, 2, 3, 5, 6, 12}",6,17,2,-7
21,"{0, 2, 10, 11, 14, 15, 19, 21}",8,77,4,-7
17,"{0, 2, 4, 5, 6, 8, 10, 12, 17}",9,27,2,-7
23,"{0, 3, 7, 9, 11, 14, 15, 16, 17, 19, 20, 23}",12,62,3,-7
13,"{0, 1, 2, 4, 5, 9, 13}",7,19,2,-7
36,"{0, 6, 7, 10, 11, 13, 16, 17, 18, 19, 20, 22, 23, 27, 28, 29, 30, 32, 33, 34, 35, 36}",22,65,2,-7
29,"{0, 1, 2, 3, 5, 9, 11, 12, 17, 18, 20, 24, 29}",13,80,3,-7
32,"{0, 32, 4, 5, 6, 9, 10, 12, 13, 15, 16, 18, 19, 20, 23, 24, 27, 29}",18,57,2,-7
23,"{0, 1, 2, 3, 7, 8, 12, 17, 20, 23}",10,39,2,-7
40,"{0, 35, 36, 4, 6, 37, 8, 40, 11, 12, 13, 16, 17, 20, 31}",15,113,3,-7
14,"{0, 1, 4, 6, 7, 8, 14}",7,21,2,-7
22,"{0, 2, 3, 11, 12, 17, 18, 22}",8,59,3,-7
21,"{0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 21}",12,35,2,-7
47,"{0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 17, 18, 20, 24, 26, 29, 30, 31, 32, 42, 43, 47}",23,134,3,-7
17,"{0, 2, 3, 5, 7, 8, 11, 14, 17}",9,27,2,-7
39,"{0, 1, 3, 4, 10, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 33, 39}",23,110,3,-7
16,"{0, 1, 2, 3, 4, 8, 11, 16}",8,25,2,-7
24,"{0, 3, 5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 21, 24}",14,41,2,-7
40,"{0, 4, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 19, 22, 24, 25, 29, 30, 31, 35, 36, 40}",22,113,3,-7
41,"{0, 2, 3, 6, 7, 8, 9, 13, 14, 15, 17, 20, 21, 24, 25, 26, 27, 32, 35, 36, 41}",21,75,2,-7
17,"{0, 1, 2, 4, 7, 10, 12, 17}",8,44,3,-7
38,"{0, 3, 5, 7, 9, 11, 12, 14, 15, 16, 18, 20, 22, 27, 28, 29, 30, 32, 33, 38}",20,107,3,-7
28,"{0, 1, 3, 5, 7, 8, 9, 11, 12, 13, 17, 18, 20, 24, 28}",15,49,2,-7
10,"{0, 5, 6, 8, 10}",5,13,2,-7
25,"{0, 2, 4, 5, 8, 9, 12, 14, 15, 16, 18, 19, 25}",13,43,2,-7
31,"{0, 3, 5, 7, 8, 10, 12, 14, 15, 20, 22, 23, 25, 27, 31}",15,86,3,-7
17,"{0, 4, 6, 7, 8, 9, 10, 11, 13, 17}",10,10,1,-7
24,"{0, 5, 6, 7, 10, 12, 15, 16, 17, 19, 20, 21, 24}",13,41,2,-7
30,"{0, 1, 2, 6, 7, 8, 9, 10, 11, 13, 14, 16, 20, 21, 22, 24, 30}",17,83,3,-7
40,"{32, 0, 1, 3, 33, 5, 8, 40, 11, 13, 14, 20, 21, 22, 23, 28, 29, 30}",18,113,3,-7
47,"{0, 6, 7, 8, 9, 11, 12, 14, 15, 16, 19, 21, 27, 29, 33, 34, 35, 36, 37, 38, 41, 42, 45, 47}",24,87,2,-7
25,"{0, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 17, 23, 25}",14,68,3,-7
22,"{0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 15, 17, 22}",14,37,2,-7
24,"{0, 4, 6, 8, 13, 15, 16, 18, 21, 22, 24}",11,65,3,-7
