0.0,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,
0.0,0.22,0.0,,,,,,,,,,,,
0.0,1.44,0.25,0.0,,,,,,,,,,,
0.0,5.58,0.64,0.24,0.0,,,,,,,,,,
0.0,10.74,2.01,0.73,0.22,0.0,,,,,,,,,
0.0,31.05,3.65,1.37,0.66,0.2,0.0,,,,,,,,
0.0,49.8,7.21,2.9,1.35,0.59,0.19,0.0,,,,,,,
0.0,90.09,11.71,4.58,2.24,1.19,0.52,0.17,0.0,,,,,,
0.0,129.97,19.59,6.94,3.96,2.0,1.04,0.47,0.16,0.0,,,,,
0.0,239.21,29.17,9.81,5.39,2.99,1.75,0.92,0.43,0.15,0.0,,,,
0.0,295.29,39.84,14.47,7.54,4.65,2.64,1.53,0.82,0.39,0.14,0.0,,,
0.0,487.94,56.83,19.68,9.56,6.4,3.73,2.31,1.36,0.74,0.36,0.13,0.0,,
0.0,600.14,79.58,25.3,12.41,8.64,5.23,3.25,2.03,1.21,0.67,0.33,0.12,0.0,
0.0,801.06,98.92,33.56,16.53,11.02,6.91,4.38,2.85,1.8,1.09,0.61,0.31,0.12,0.0
