0.0,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,
0.0,0.07,0.0,,,,,,,,,,,,
0.0,-0.19,0.0,0.0,,,,,,,,,,,
0.0,2.25,0.43,-0.05,0.0,,,,,,,,,,
0.0,-7.45,0.67,-0.08,-0.07,0.0,,,,,,,,,
0.0,-2.02,2.18,0.27,-0.25,-0.09,0.0,,,,,,,,
0.0,-13.06,-1.53,1.1,-0.39,-0.32,-0.09,0.0,,,,,,,
0.0,-56.89,3.79,2.67,-0.04,-0.67,-0.34,-0.1,0.0,,,,,,
0.0,-217.31,-13.82,2.12,-0.08,-1.02,-0.78,-0.35,-0.1,0.0,,,,,
0.0,-172.13,-17.51,2.9,1.85,-1.18,-1.34,-0.8,-0.34,-0.09,0.0,,,,
0.0,-325.92,-29.94,0.07,2.6,-2.31,-1.95,-1.44,-0.78,-0.33,-0.09,0.0,,,
0.0,-268.73,-67.17,1.05,4.51,-1.76,-2.59,-2.23,-1.43,-0.75,-0.31,-0.09,0.0,,
0.0,-342.57,-229.93,3.02,2.88,-1.57,-4.11,-3.2,-2.28,-1.37,-0.7,-0.3,-0.09,0.0,
0.0,-1755.69,-176.56,-7.12,0.98,0.44,-5.05,-4.33,-3.36,-2.21,-1.3,-0.66,-0.28,-0.08,0.0
